id,title,h_a,xG,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,date,wins,loses,draws,pts,npxGD,season
71,Aston Villa,a,2.67,2.67,2.044,260,23,224,24,8,5,2,1,1.299,w,2024-08-17 16:30:00,1,0,0,3,0.627,2024
71,Aston Villa,h,1.317,1.317,1.414,311,18,175,30,3,10,0,2,1.236,l,2024-08-24 16:30:00,0,1,0,0,-0.097,2024
71,Aston Villa,a,2.164,2.164,0.775,314,30,224,35,6,3,2,1,2.448,w,2024-08-31 14:00:00,1,0,0,3,1.389,2024
71,Aston Villa,h,3.159,3.159,0.852,121,23,294,18,9,3,3,2,2.76,w,2024-09-14 16:30:00,1,0,0,3,2.307,2024
71,Aston Villa,h,2.374,2.374,0.52,236,20,216,16,9,4,3,1,2.648,w,2024-09-21 14:00:00,1,0,0,3,1.853,2024
71,Aston Villa,a,1.145,1.145,1.846,262,22,265,16,5,6,2,2,0.825,d,2024-09-29 13:00:00,0,0,1,1,-0.701,2024
72,Everton,h,0.405,0.405,1.791,385,21,190,24,4,5,0,3,0.308,l,2024-08-17 14:00:00,0,1,0,0,-1.386,2024
72,Everton,a,0.649,0.649,2.611,369,29,126,20,5,9,0,4,0.256,l,2024-08-24 14:00:00,0,1,0,0,-1.963,2024
72,Everton,h,2.556,2.556,2.957,191,23,149,21,15,7,2,3,1.124,l,2024-08-31 14:00:00,0,1,0,0,-0.401,2024
72,Everton,a,0.852,0.852,3.159,294,18,121,23,3,9,2,3,0.157,l,2024-09-14 16:30:00,0,1,0,0,-2.307,2024
72,Everton,a,1.824,1.824,1.338,251,13,160,19,6,8,1,1,1.698,d,2024-09-21 14:00:00,0,0,1,1,0.486,2024
72,Everton,h,1.11,1.11,1.124,300,24,168,18,6,8,2,1,1.331,w,2024-09-28 14:00:00,1,0,0,3,-0.014,2024
72,Everton,h,0.692,0.692,1.029,410,26,164,28,3,11,0,0,0.49,d,2024-10-05 16:30:00,0,0,1,1,-0.337,2024
73,Bournemouth,a,1.909,1.909,1.244,219,22,225,26,4,10,1,1,1.894,d,2024-08-17 14:00:00,0,0,1,1,0.665,2024
73,Bournemouth,h,2.535,2.535,1.893,276,30,127,14,8,9,1,1,1.852,d,2024-08-25 13:00:00,0,0,1,1,0.642,2024
73,Bournemouth,a,2.957,2.957,2.556,149,21,191,23,7,15,3,2,1.66,w,2024-08-31 14:00:00,1,0,0,3,0.401,2024
73,Bournemouth,h,1.537,0.776,0.933,338,30,133,14,5,9,0,1,1.88,l,2024-09-14 19:00:00,0,1,0,0,-0.157,2024
73,Bournemouth,a,1.47,1.47,2.437,370,23,237,20,6,13,0,3,0.796,l,2024-09-21 14:00:00,0,1,0,0,-0.968,2024
73,Bournemouth,h,1.442,1.442,0.696,371,32,188,16,7,7,3,1,1.996,w,2024-09-30 19:00:00,1,0,0,3,0.746,2024
73,Bournemouth,a,1.95,1.95,0.912,221,26,201,15,7,2,0,1,2.187,l,2024-10-05 14:00:00,0,1,0,0,1.038,2024
74,Southampton,a,1.955,1.955,0.433,72,19,325,20,13,4,0,1,2.559,l,2024-08-17 14:00:00,0,1,0,0,1.521,2024
74,Southampton,h,0.215,0.215,2.865,171,21,425,23,4,9,0,1,0.07,l,2024-08-24 14:00:00,0,1,0,0,-2.65,2024
74,Southampton,a,1.647,1.647,3.863,189,23,306,21,14,15,1,3,0.29,l,2024-08-31 14:00:00,0,1,0,0,-2.216,2024
74,Southampton,h,1.356,0.545,3.027,380,35,300,29,3,17,0,3,0.344,l,2024-09-14 11:30:00,0,1,0,0,-2.482,2024
74,Southampton,h,2.898,2.898,1.645,220,25,314,34,7,5,1,1,2.263,d,2024-09-21 14:00:00,0,0,1,1,1.253,2024
74,Southampton,a,0.696,0.696,1.442,188,16,371,32,7,7,1,3,0.731,l,2024-09-30 19:00:00,0,1,0,0,-0.746,2024
74,Southampton,a,1.273,1.273,3.252,247,16,235,29,3,14,1,3,0.329,l,2024-10-05 14:00:00,0,1,0,0,-1.979,2024
75,Leicester,h,1.026,1.026,1.408,331,16,159,29,2,21,1,1,1.057,d,2024-08-19 19:00:00,0,0,1,1,-0.382,2024
75,Leicester,a,0.857,0.857,1.962,274,20,318,31,1,7,1,2,0.591,l,2024-08-24 14:00:00,0,1,0,0,-1.105,2024
75,Leicester,h,0.775,0.775,2.164,224,35,314,30,3,6,1,2,0.373,l,2024-08-31 14:00:00,0,1,0,0,-1.389,2024
75,Leicester,a,1.652,1.652,2.126,315,22,167,34,7,15,2,2,0.592,d,2024-09-14 14:00:00,0,0,1,1,-0.474,2024
75,Leicester,h,1.338,1.338,1.824,160,19,251,13,8,6,1,1,1.039,d,2024-09-21 14:00:00,0,0,1,1,-0.486,2024
75,Leicester,a,0.338,0.338,6.053,265,9,139,30,4,21,2,4,0.002,l,2024-09-28 14:00:00,0,1,0,0,-5.715,2024
75,Leicester,h,0.912,0.912,1.95,201,15,221,26,2,7,1,0,0.588,w,2024-10-05 14:00:00,1,0,0,3,-1.038,2024
78,Crystal Palace,a,1.148,1.148,1.381,224,29,228,18,4,1,1,2,1.097,l,2024-08-18 13:00:00,0,1,0,0,-0.233,2024
78,Crystal Palace,h,1.376,1.376,1.534,235,34,302,22,6,5,0,2,1.262,l,2024-08-24 14:00:00,0,1,0,0,-0.158,2024
78,Crystal Palace,a,0.46,0.46,2.977,376,19,206,18,6,4,1,1,0.079,d,2024-09-01 12:30:00,0,0,1,1,-2.518,2024
78,Crystal Palace,h,2.887,2.126,1.652,167,34,315,22,15,7,2,2,2.221,d,2024-09-14 14:00:00,0,0,1,1,0.474,2024
78,Crystal Palace,h,1.669,1.669,2.351,385,21,165,27,5,12,0,0,0.906,d,2024-09-21 16:30:00,0,0,1,1,-0.681,2024
78,Crystal Palace,a,1.124,1.124,1.11,168,18,300,24,8,6,1,2,1.355,l,2024-09-28 14:00:00,0,1,0,0,0.014,2024
78,Crystal Palace,h,0.609,0.609,2.073,383,16,150,27,3,11,0,1,0.38,l,2024-10-05 11:30:00,0,1,0,0,-1.464,2024
80,Chelsea,h,1.061,1.061,1.18,312,31,256,17,8,10,0,2,1.235,l,2024-08-18 15:30:00,0,1,0,0,-0.119,2024
80,Chelsea,a,2.029,2.029,2.418,176,25,303,21,6,8,6,2,1.088,w,2024-08-25 13:00:00,1,0,0,3,-0.389,2024
80,Chelsea,h,2.977,2.977,0.46,206,18,376,19,4,6,1,1,2.875,d,2024-09-01 12:30:00,0,0,1,1,2.518,2024
80,Chelsea,a,0.933,0.933,0.776,133,14,338,30,9,5,1,0,0.83,w,2024-09-14 19:00:00,1,0,0,3,0.157,2024
80,Chelsea,a,2.397,2.397,0.758,277,17,301,31,9,12,3,0,2.467,w,2024-09-21 11:30:00,1,0,0,3,1.639,2024
80,Chelsea,h,3.658,2.897,1.207,328,13,236,29,10,7,4,2,2.718,w,2024-09-28 14:00:00,1,0,0,3,1.69,2024
81,West Ham,h,2.805,2.044,2.67,224,24,260,23,5,8,1,2,1.469,l,2024-08-17 16:30:00,0,1,0,0,-0.627,2024
