team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t109,Wrexham,1,1,5,1,1,14,6,8,16,7,"W,L,W,W,W",39
t41,Birmingham City,2,2,5,1,0,13,6,7,16,6,"W,W,W,W,W",39
t37,Barnsley,7,3,4,1,2,12,10,2,13,7,"W,L,W,W,D",39
t33,Charlton Athletic,3,4,4,1,2,7,5,2,13,7,"L,W,D,L,W",39
t38,Huddersfield Town,4,5,4,0,3,11,8,3,12,7,"L,L,W,L,W",39
t83,Lincoln City,6,6,3,2,1,10,6,4,11,6,"D,D,W,W,L",39
t48,Stockport County,5,7,3,2,1,10,6,4,11,6,"L,D,D,W,W",39
t73,Peterborough United,11,8,3,2,2,12,11,1,11,7,"D,W,D,L,W",39
t92,Blackpool,19,9,3,2,2,13,13,0,11,7,"W,W,W,D,D",39
t77,Mansfield Town,8,10,3,2,1,11,11,0,11,6,"W,W,D,L,D",39
t112,Wycombe Wanderers,10,11,3,1,2,12,10,2,10,6,"W,W,D,W,L",39
t71,Exeter City,16,12,3,0,3,8,6,2,9,6,"W,L,W,L,L",39
t75,Northampton Town,18,13,2,2,2,8,7,1,8,6,"W,L,D,D,W",39
t111,Wigan Athletic,15,14,2,2,3,6,5,1,8,7,"D,D,W,L,W",39
t288,Stevenage,9,15,2,2,3,5,5,0,8,7,"D,L,W,L,D",39
t85,Leyton Orient,22,16,2,1,4,9,11,-2,7,7,"D,W,W,L,L",39
t108,Reading,12,17,2,1,3,7,10,-3,7,6,"L,L,W,L,W",39
t1525,Crawley Town,13,18,2,1,3,5,8,-3,7,6,"L,D,L,L,W",39
t30,Bolton Wanderers,21,19,2,1,3,7,11,-4,7,6,"W,L,L,L,D",39
t96,Bristol Rovers,14,20,2,1,4,6,11,-5,7,7,"L,L,L,W,L",39
t72,Rotherham United,17,21,1,3,3,5,9,-4,6,7,"L,D,D,W,L",39
t587,Burton Albion,20,22,0,4,2,8,10,-2,4,6,"L,D,D,D,D",39
t74,Shrewsbury Town,23,23,1,0,6,5,12,-7,3,7,"L,L,L,W,L",39
t101,Cambridge United,24,24,0,1,5,6,13,-7,1,6,"L,L,L,D,L",39
