kickoff_date_utc,home_away,opponent,wrexham_score,opponent_score,wrexham_half_score,opponent_half_score,penalty_score,match_minutes,match_period,formatted_matchtime,resultType,postponement_reason,matchWinner
2023-08-05 14:00:00,home,MK Dons,3,5,1,2,,100,FullTime,90' +10',NormalResult,,MK Dons
2023-08-12 14:00:00,away,AFC Wimbledon,1,1,1,0,,100,FullTime,90' +10',NormalResult,,
2023-08-15 18:45:00,home,Walsall,4,2,2,1,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-08-19 14:00:00,home,Swindon Town,5,5,1,4,,97,FullTime,90' +7',NormalResult,,
2023-08-26 14:00:00,away,Barrow,1,1,1,0,,97,FullTime,90' +7',NormalResult,,
2023-09-02 11:30:00,away,Tranmere Rovers,1,0,0,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-09-09 14:00:00,home,Doncaster Rovers,2,1,1,0,,99,FullTime,90' +9',NormalResult,,Wrexham
2023-09-16 14:00:00,home,Grimsby Town,3,0,2,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-09-23 14:00:00,away,Stockport County,0,5,0,3,,98,FullTime,90' +8',NormalResult,,Stockport County
2023-09-30 14:00:00,home,Crewe Alexandra,3,3,1,2,,98,FullTime,90' +8',NormalResult,,
2023-10-03 18:45:00,away,Mansfield Town,0,0,0,0,,95,FullTime,90' +5',NormalResult,,
2023-10-07 14:00:00,away,Crawley Town,1,0,1,0,,98,FullTime,90' +8',NormalResult,,Wrexham
2023-10-14 14:00:00,home,Salford City,3,2,1,2,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-10-21 14:00:00,away,Bradford City,1,1,0,0,,99,FullTime,90' +9',NormalResult,,
2023-10-24 18:45:00,home,Sutton United,2,1,1,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-10-28 14:00:00,away,Notts County,2,0,0,0,,95,FullTime,90' +5',NormalResult,,Wrexham
2023-11-11 15:00:00,home,Gillingham,2,0,1,0,,94,FullTime,90' +4',NormalResult,,Wrexham
2023-11-18 15:00:00,away,Accrington Stanley,0,2,0,0,,102,FullTime,90' +12',NormalResult,,Accrington Stanley
2023-11-25 15:00:00,home,Morecambe,6,0,3,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-11-28 19:45:00,away,Harrogate Town,2,2,2,1,,94,FullTime,90' +4',NormalResult,,
2023-12-16 15:00:00,home,Colchester United,2,1,1,0,,98,FullTime,90' +8',NormalResult,,Wrexham
2023-12-23 15:00:00,home,Newport County,2,0,0,0,,95,FullTime,90' +5',NormalResult,,Wrexham
2023-12-26 15:00:00,away,Swindon Town,1,0,1,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2023-12-29 19:45:00,away,Walsall,1,3,1,1,,95,FullTime,90' +5',NormalResult,,Walsall
2024-01-01 15:00:00,home,Barrow,4,1,3,1,,102,FullTime,90' +12',NormalResult,,Wrexham
2024-01-13 15:00:00,home,AFC Wimbledon,2,0,0,0,,97,FullTime,90' +7',NormalResult,,Wrexham
2024-01-20 15:00:00,away,Newport County,0,1,0,1,,95,FullTime,90' +5',NormalResult,,Newport County
2024-02-03 15:00:00,away,Salford City,1,3,1,2,,101,FullTime,90' +11',NormalResult,,Salford City
2024-02-10 15:00:00,home,Bradford City,0,1,0,0,,98,FullTime,90' +8',NormalResult,,Bradford City
2024-02-13 19:45:00,away,Sutton United,2,1,1,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-02-17 15:00:00,home,Notts County,1,0,1,0,,98,FullTime,90' +8',NormalResult,,Wrexham
2024-02-20 19:45:00,away,MK Dons,1,1,1,1,,99,FullTime,90' +9',NormalResult,Fixture Clash,
2024-02-24 15:00:00,away,Gillingham,0,1,0,0,,95,FullTime,90' +5',NormalResult,,Gillingham
2024-02-27 19:45:00,away,Forest Green Rovers,1,1,0,1,,98,FullTime,90' +8',NormalResult,Waterlogged Pitch,
2024-03-02 15:00:00,home,Accrington Stanley,4,0,4,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-03-09 15:00:00,away,Morecambe,3,1,1,1,,97,FullTime,90' +7',NormalResult,,Wrexham
2024-03-12 19:45:00,home,Harrogate Town,0,0,0,0,,95,FullTime,90' +5',NormalResult,,
2024-03-16 15:00:00,home,Tranmere Rovers,0,1,0,1,,96,FullTime,90' +6',NormalResult,,Tranmere Rovers
2024-03-23 15:00:00,away,Grimsby Town,3,1,3,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-03-29 15:00:00,home,Mansfield Town,2,0,1,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-04-02 18:45:00,away,Doncaster Rovers,0,1,0,1,,99,FullTime,90' +9',NormalResult,,Doncaster Rovers
2024-04-06 14:00:00,away,Colchester United,2,1,0,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-04-09 18:45:00,home,Crawley Town,4,1,2,0,,96,FullTime,90' +6',NormalResult,Fixture Clash,Wrexham
2024-04-13 14:00:00,home,Forest Green Rovers,6,0,4,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-04-20 11:30:00,away,Crewe Alexandra,3,0,2,0,,96,FullTime,90' +6',NormalResult,,Wrexham
2024-04-27 14:00:00,home,Stockport County,2,1,0,1,,96,FullTime,90' +6',NormalResult,,Wrexham
