team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t41,Birmingham City,1,1,9,2,1,23,11,12,29,12,"D,W,W,L,W",44
t112,Wycombe Wanderers,3,2,8,2,2,26,16,10,26,12,"W,W,W,W,D",44
t109,Wrexham,2,3,7,4,2,21,10,11,25,13,"D,D,W,W,L",44
t77,Mansfield Town,4,4,7,3,2,20,14,6,24,12,"D,W,L,W,W",44
t83,Lincoln City,10,5,7,3,3,20,16,4,24,13,"W,W,L,L,W",44
t30,Bolton Wanderers,14,6,7,2,4,22,19,3,23,13,"W,W,L,W,D",44
t38,Huddersfield Town,5,7,7,1,5,19,12,7,22,13,"W,D,W,W,L",44
t37,Barnsley,8,8,6,4,3,21,18,3,22,13,"W,D,W,L,D",44
t108,Reading,7,9,7,1,5,21,20,1,22,13,"L,W,W,W,L",44
t48,Stockport County,9,10,5,6,2,20,12,8,21,13,"W,L,D,D,D",44
t71,Exeter City,6,11,6,1,5,13,10,3,19,12,"L,L,W,W,W",44
t33,Charlton Athletic,11,12,5,4,4,15,14,1,19,13,"D,D,D,W,L",44
t73,Peterborough United,12,13,5,3,6,25,26,-1,18,14,"L,W,L,D,W",44
t72,Rotherham United,17,14,4,5,5,14,16,-2,17,14,"W,L,L,D,W",44
t288,Stevenage,13,15,5,2,7,10,15,-5,17,14,"L,L,L,W,L",44
t92,Blackpool,16,16,4,4,5,21,25,-4,16,13,"D,L,L,L,D",44
t96,Bristol Rovers,15,17,5,1,7,15,20,-5,16,13,"L,W,L,W,W",44
t75,Northampton Town,19,18,4,3,6,17,20,-3,15,13,"L,W,D,W,L",44
t111,Wigan Athletic,18,19,3,5,5,12,11,1,14,13,"D,L,L,D,W",44
t85,Leyton Orient,20,20,3,2,8,11,18,-7,11,13,"L,W,L,L,L",44
t101,Cambridge United,23,21,3,1,8,11,17,-6,10,12,"W,W,W,L,L",44
t1525,Crawley Town,21,22,3,1,9,12,25,-13,10,13,"L,W,L,L,L",44
t74,Shrewsbury Town,22,23,2,2,10,13,25,-12,8,14,"L,L,L,W,D",44
t587,Burton Albion,24,24,0,4,8,13,25,-12,4,12,"L,L,L,L,L",44
