rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,26,17,6,3,50,18,32,57,2025-2026,2026-02-12,7
2,Manchester City,26,16,5,5,54,24,30,53,2025-2026,2026-02-12,7
3,Aston Villa,26,15,5,6,37,27,10,50,2025-2026,2026-02-12,7
4,Manchester United,26,12,9,5,47,37,10,45,2025-2026,2026-02-12,7
5,Chelsea,26,12,8,6,47,30,17,44,2025-2026,2026-02-12,7
6,Liverpool,26,12,6,8,41,35,6,42,2025-2026,2026-02-12,7
7,Brentford,26,12,4,10,40,35,5,40,2025-2026,2026-02-12,7
8,Everton,26,10,7,9,29,30,-1,37,2025-2026,2026-02-12,7
9,Bournemouth,26,9,10,7,43,45,-2,37,2025-2026,2026-02-12,7
10,Newcastle United,26,10,6,10,37,37,0,36,2025-2026,2026-02-12,7
11,Sunderland,26,9,9,8,27,30,-3,36,2025-2026,2026-02-12,7
12,Fulham,26,10,4,12,35,40,-5,34,2025-2026,2026-02-12,7
13,Crystal Palace,26,8,8,10,28,32,-4,32,2025-2026,2026-02-12,7
14,Brighton & Hove Albion,26,7,10,9,34,34,0,31,2025-2026,2026-02-12,7
15,Leeds United,26,7,9,10,36,45,-9,30,2025-2026,2026-02-12,7
16,Tottenham Hotspur,26,7,8,11,36,37,-1,29,2025-2026,2026-02-12,7
17,Nottingham Forest,26,7,6,13,25,38,-13,27,2025-2026,2026-02-12,7
18,West Ham United,26,6,6,14,32,49,-17,24,2025-2026,2026-02-12,7
19,Burnley,26,4,6,16,28,51,-23,18,2025-2026,2026-02-12,7
20,Wolverhampton Wanderers,26,1,6,19,16,48,-32,9,2025-2026,2026-02-12,7
