rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,4,4,0,0,9,4,5,12,3.0,6.0,3.3,2.7,0.67,W W W W,60385,"Mohamed Salah, Hugo Ekitike - 2",Alisson,,2025-2026,2025-09-18,38
2,Arsenal,4,3,0,1,9,1,8,9,2.25,6.2,2.4,3.9,0.97,W W L W,60139,Viktor Gyökeres - 3,David Raya,,2025-2026,2025-09-18,38
3,Tottenham,4,3,0,1,8,1,7,9,2.25,4.8,4.6,0.2,0.05,W W L W,61164,"Richarlison, Brennan Johnson - 2",Guglielmo Vicario,,2025-2026,2025-09-18,38
4,Bournemouth,4,3,0,1,6,5,1,9,2.25,6.0,3.5,2.5,0.63,L W W W,11119,Antoine Semenyo - 3,Đorđe Petrović,,2025-2026,2025-09-18,38
5,Chelsea,4,2,2,0,9,3,6,8,2.0,7.7,3.7,4.0,1.0,D W W D,39712,"João Pedro, Enzo Fernández... - 2",Robert Sánchez,,2025-2026,2025-09-18,38
6,Everton,4,2,1,1,5,3,2,7,1.75,6.3,5.9,0.4,0.09,L W W D,51937,Iliman Ndiaye - 2,Jordan Pickford,,2025-2026,2025-09-18,38
7,Sunderland,4,2,1,1,5,3,2,7,1.75,3.4,4.5,-1.1,-0.27,W L W D,46250,Wilson Isidor - 2,Robin Roefs,,2025-2026,2025-09-18,38
8,Manchester City,4,2,0,2,8,4,4,6,1.5,8.4,5.1,3.3,0.83,W L L W,52160,Erling Haaland - 5,James Trafford,,2025-2026,2025-09-18,38
9,Crystal Palace,4,1,3,0,4,1,3,6,1.5,6.2,4.0,2.2,0.54,D D W D,25015,Ismaila Sarr - 2,Dean Henderson,,2025-2026,2025-09-18,38
10,Newcastle United,4,1,2,1,3,3,0,5,1.25,4.4,2.1,2.3,0.58,D L D W,52188,"Bruno Guimarães, Nick Woltemade... - 1",Nick Pope,,2025-2026,2025-09-18,38
11,Fulham,4,1,2,1,3,4,-1,5,1.25,4.4,6.0,-1.7,-0.41,D D L W,27420,"Emile Smith Rowe, Rodrigo Muniz - 1",Bernd Leno,,2025-2026,2025-09-18,38
12,Brentford,4,1,1,2,5,7,-2,4,1.0,5.2,5.8,-0.6,-0.14,L W L D,16817,Thiago - 2,Caoimhín Kelleher,,2025-2026,2025-09-18,38
13,Brighton,4,1,1,2,4,6,-2,4,1.0,6.7,5.6,1.1,0.28,D L W L,31482,"James Milner, Matt O'Riley... - 1",Bart Verbruggen,,2025-2026,2025-09-18,38
14,Manchester United,4,1,1,2,4,7,-3,4,1.0,7.9,6.9,1.0,0.24,L D W L,73866,"Bruno Fernandes, Bryan Mbeumo - 1",Altay Bayındır,,2025-2026,2025-09-18,38
15,Nottingham Forest,4,1,1,2,4,8,-4,4,1.0,3.7,6.7,-3.1,-0.77,W D L L,30082,Chris Wood - 2,Matz Sels,,2025-2026,2025-09-18,38
16,Leeds United,4,1,1,2,1,6,-5,4,1.0,3.7,4.8,-1.1,-0.29,W L D L,36774,Lukas Nmecha - 1,Lucas Perri,,2025-2026,2025-09-18,38
17,Burnley,4,1,0,3,4,7,-3,3,0.75,3.2,9.2,-6.0,-1.5,L W L L,21482,Jaidon Anthony - 2,Martin Dúbravka,,2025-2026,2025-09-18,38
18,West Ham,4,1,0,3,4,11,-7,3,0.75,4.3,5.5,-1.1,-0.28,L L W L,62461,Lucas Paquetá - 2,Mads Hermansen,,2025-2026,2025-09-18,38
19,Aston Villa,4,0,2,2,0,4,-4,2,0.5,2.9,7.3,-4.4,-1.09,D L L D,41781,,"Emiliano Martínez, Marco Bizot",,2025-2026,2025-09-18,38
20,Wolves,4,0,0,4,2,9,-7,0,0.0,2.6,7.1,-4.5,-1.13,L L L L,30864,"Hwang Hee-chan, Rodrigo Gomes - 1",José Sá,,2025-2026,2025-09-18,38
