rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,16,12,3,1,37,16,21,39,2.44,36.2,16.0,20.2,1.26,W W D D W,60274,Mohamed Salah - 15,Caoimhín Kelleher,,2024-2025,2024-12-23,52
2,Chelsea,17,10,5,2,37,19,18,35,2.06,35.3,24.3,11.0,0.65,W W W W D,39730,Cole Palmer - 11,Robert Sánchez,,2024-2025,2024-12-23,52
3,Arsenal,17,9,6,2,34,16,18,33,1.94,29.3,15.8,13.5,0.79,W W D D W,60291,Kai Havertz - 6,David Raya,,2024-2025,2024-12-23,52
4,Nottingham Forest,17,9,4,4,23,19,4,31,1.82,20.6,18.0,2.7,0.16,W L W W W,29984,Chris Wood - 10,Matz Sels,,2024-2025,2024-12-23,52
5,Bournemouth,17,8,4,5,27,21,6,28,1.65,34.0,22.3,11.7,0.69,W W W D W,11217,Justin Kluivert - 6,Kepa Arrizabalaga,,2024-2025,2024-12-23,52
6,Aston Villa,17,8,4,5,26,26,0,28,1.65,27.1,20.2,6.9,0.4,L W W L W,41901,"Ollie Watkins, Jhon Durán - 7",Emiliano Martínez,,2024-2025,2024-12-23,52
7,Manchester City,17,8,3,6,29,25,4,27,1.59,30.7,25.0,5.7,0.34,L W D L L,52679,Erling Haaland - 13,Ederson,,2024-2025,2024-12-23,52
8,Newcastle United,17,7,5,5,27,21,6,26,1.53,27.6,21.3,6.3,0.37,D D L W W,52211,Alexander Isak - 10,Nick Pope,,2024-2025,2024-12-23,52
9,Fulham,17,6,7,4,24,22,2,25,1.47,22.8,20.4,2.5,0.14,D W D D D,26237,"Raúl Jiménez, Alex Iwobi - 5",Bernd Leno,,2024-2025,2024-12-23,52
10,Brighton,17,6,7,4,27,26,1,25,1.47,23.9,26.8,-2.9,-0.17,D L D L D,32754,Danny Welbeck - 6,Bart Verbruggen,,2024-2025,2024-12-23,52
11,Tottenham,17,7,2,8,39,25,14,23,1.35,31.8,29.3,2.5,0.15,D L L W L,61350,James Maddison - 8,Guglielmo Vicario,,2024-2025,2024-12-23,52
12,Brentford,17,7,2,8,32,32,0,23,1.35,26.1,28.5,-2.4,-0.14,W L W L L,16992,Bryan Mbeumo - 10,Mark Flekken,,2024-2025,2024-12-23,52
13,Manchester United,17,6,4,7,21,22,-1,22,1.29,25.4,24.4,1.0,0.06,W L L W L,73702,"Bruno Fernandes, Marcus Rashford - 4",André Onana,,2024-2025,2024-12-23,52
14,West Ham,17,5,5,7,22,30,-8,20,1.18,24.7,29.6,-4.9,-0.29,L L W D D,62470,"Tomáš Souček, Jarrod Bowen - 4",Łukasz Fabiański,,2024-2025,2024-12-23,52
15,Everton,16,3,7,6,14,21,-7,16,1.0,15.8,21.3,-5.4,-0.34,D L W D D,39010,Dwight McNeil - 3,Jordan Pickford,,2024-2025,2024-12-23,52
16,Crystal Palace,17,3,7,7,18,26,-8,16,0.94,23.5,24.5,-1.1,-0.06,D W D W L,25140,"Ismaila Sarr, Jean-Philippe Mateta - 4",Dean Henderson,,2024-2025,2024-12-23,52
17,Leicester City,17,3,5,9,21,37,-16,14,0.82,17.2,34.6,-17.4,-1.02,L W D L L,31705,Jamie Vardy - 6,Mads Hermansen,,2024-2025,2024-12-23,52
18,Wolves,17,3,3,11,27,40,-13,12,0.71,17.9,28.0,-10.1,-0.6,L L L L W,30538,Matheus Cunha - 9,José Sá,,2024-2025,2024-12-23,52
19,Ipswich Town,17,2,6,9,16,32,-16,12,0.71,15.9,35.0,-19.1,-1.12,L L L W L,29746,Liam Delap - 6,Arijanet Muric,,2024-2025,2024-12-23,52
20,Southampton,17,1,3,13,11,36,-25,6,0.35,17.1,37.8,-20.7,-1.22,D L L L D,31158,"Adam Armstrong, Joe Aribo... - 2",Aaron Ramsdale,,2024-2025,2024-12-23,52
