rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,2,2,0,0,6,0,6,6,2025-2026,2025-08-25,35
2,Tottenham Hotspur,2,2,0,0,5,0,5,6,2025-2026,2025-08-25,35
3,Liverpool,2,2,0,0,7,4,3,6,2025-2026,2025-08-25,35
4,Chelsea,2,1,1,0,5,1,4,4,2025-2026,2025-08-25,35
5,Nottingham Forest,2,1,1,0,4,2,2,4,2025-2026,2025-08-25,35
6,Manchester City,2,1,0,1,4,2,2,3,2025-2026,2025-08-25,35
7,Sunderland,2,1,0,1,3,2,1,3,2025-2026,2025-08-25,35
8,Everton,2,1,0,1,2,1,1,3,2025-2026,2025-08-25,35
9,Bournemouth,2,1,0,1,3,4,-1,3,2025-2026,2025-08-25,35
10,Brentford,2,1,0,1,2,3,-1,3,2025-2026,2025-08-25,35
11,Burnley,2,1,0,1,2,3,-1,3,2025-2026,2025-08-25,35
12,Leeds United,2,1,0,1,1,5,-4,3,2025-2026,2025-08-25,35
13,Fulham,2,0,2,0,2,2,0,2,2025-2026,2025-08-25,35
14,Crystal Palace,2,0,2,0,1,1,0,2,2025-2026,2025-08-25,35
15,Newcastle United,2,0,1,1,2,3,-1,1,2025-2026,2025-08-25,35
16,Manchester United,2,0,1,1,1,2,-1,1,2025-2026,2025-08-25,35
17,Aston Villa,2,0,1,1,0,1,-1,1,2025-2026,2025-08-25,35
18,Brighton & Hove Albion,2,0,1,1,1,3,-2,1,2025-2026,2025-08-25,35
19,Wolverhampton Wanderers,2,0,0,2,0,5,-5,0,2025-2026,2025-08-25,35
20,West Ham United,2,0,0,2,1,8,-7,0,2025-2026,2025-08-25,35
