rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,24,16,5,3,46,17,29,53,2025-2026,2026-01-31,5
2,Manchester City,23,14,4,5,47,21,26,46,2025-2026,2026-01-31,5
3,Aston Villa,23,14,4,5,35,25,10,46,2025-2026,2026-01-31,5
4,Chelsea,24,11,7,6,42,27,15,40,2025-2026,2026-01-31,5
5,Liverpool,24,11,6,7,39,33,6,39,2025-2026,2026-01-31,5
6,Manchester United,23,10,8,5,41,34,7,38,2025-2026,2026-01-31,5
7,Fulham,23,10,4,9,32,32,0,34,2025-2026,2026-01-31,5
8,Everton,24,9,7,8,26,27,-1,34,2025-2026,2026-01-31,5
9,Brentford,23,10,3,10,35,32,3,33,2025-2026,2026-01-31,5
10,Newcastle United,24,9,6,9,33,33,0,33,2025-2026,2026-01-31,5
11,Sunderland,23,8,9,6,24,26,-2,33,2025-2026,2026-01-31,5
12,Bournemouth,24,8,9,7,40,43,-3,33,2025-2026,2026-01-31,5
13,Brighton & Hove Albion,24,7,10,7,34,32,2,31,2025-2026,2026-01-31,5
14,Tottenham Hotspur,23,7,7,9,33,31,2,28,2025-2026,2026-01-31,5
15,Crystal Palace,23,7,7,9,24,28,-4,28,2025-2026,2026-01-31,5
16,Leeds United,24,6,8,10,31,42,-11,26,2025-2026,2026-01-31,5
17,Nottingham Forest,23,7,4,12,23,34,-11,25,2025-2026,2026-01-31,5
18,West Ham United,24,5,5,14,29,48,-19,20,2025-2026,2026-01-31,5
19,Burnley,23,3,6,14,25,44,-19,15,2025-2026,2026-01-31,5
20,Wolverhampton Wanderers,24,1,5,18,15,45,-30,8,2025-2026,2026-01-31,5
