rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Arsenal,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
2,Aston Villa,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
3,Bournemouth,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
4,Brentford,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
5,Brighton,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
6,Burnley,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
7,Chelsea,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
8,Crystal Palace,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
9,Everton,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
10,Fulham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
11,Leeds United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
12,Liverpool,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
13,Manchester City,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
14,Manchester United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
15,Newcastle United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
16,Nottingham Forest,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
17,Sunderland,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
18,Tottenham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
19,West Ham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
20,Wolves,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-12,33
