rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,36,24,7,5,68,26,42,79,2025-2026,2026-05-10,19
2,Manchester City,35,22,8,5,72,32,40,74,2025-2026,2026-05-10,19
3,Manchester United,36,18,11,7,63,48,15,65,2025-2026,2026-05-10,19
4,Liverpool,36,17,8,11,60,48,12,59,2025-2026,2026-05-10,19
5,Aston Villa,36,17,8,11,50,46,4,59,2025-2026,2026-05-10,19
6,Bournemouth,36,13,16,7,56,52,4,55,2025-2026,2026-05-10,19
7,Brighton & Hove Albion,36,14,11,11,52,42,10,53,2025-2026,2026-05-10,19
8,Brentford,36,14,9,13,52,49,3,51,2025-2026,2026-05-10,19
9,Chelsea,36,13,10,13,55,49,6,49,2025-2026,2026-05-10,19
10,Everton,36,13,10,13,46,46,0,49,2025-2026,2026-05-10,19
11,Fulham,36,14,6,16,44,50,-6,48,2025-2026,2026-05-10,19
12,Sunderland,36,12,12,12,37,46,-9,48,2025-2026,2026-05-10,19
13,Newcastle United,36,13,7,16,50,52,-2,46,2025-2026,2026-05-10,19
14,Crystal Palace,35,11,11,13,38,44,-6,44,2025-2026,2026-05-10,19
15,Nottingham Forest,36,11,10,15,45,47,-2,43,2025-2026,2026-05-10,19
16,Leeds United,35,10,13,12,47,52,-5,43,2025-2026,2026-05-10,19
17,Tottenham Hotspur,35,9,10,16,45,54,-9,37,2025-2026,2026-05-10,19
18,West Ham United,36,9,9,18,42,62,-20,36,2025-2026,2026-05-10,19
19,Burnley,36,4,9,23,37,73,-36,21,2025-2026,2026-05-10,19
20,Wolverhampton Wanderers,36,3,9,24,25,66,-41,18,2025-2026,2026-05-10,19
