rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,29,19,7,3,58,22,36,64,2025-2026,2026-03-01,9
2,Manchester City,28,18,5,5,57,25,32,59,2025-2026,2026-03-01,9
3,Manchester United,28,14,9,5,50,38,12,51,2025-2026,2026-03-01,9
4,Aston Villa,28,15,6,7,38,30,8,51,2025-2026,2026-03-01,9
5,Liverpool,28,14,6,8,47,37,10,48,2025-2026,2026-03-01,9
6,Chelsea,28,12,9,7,49,33,16,45,2025-2026,2026-03-01,9
7,Brentford,28,13,4,11,44,40,4,43,2025-2026,2026-03-01,9
8,Everton,28,11,7,10,32,33,-1,40,2025-2026,2026-03-01,9
9,Fulham,28,12,4,12,40,42,-2,40,2025-2026,2026-03-01,9
10,Bournemouth,28,9,12,7,44,46,-2,39,2025-2026,2026-03-01,9
11,Brighton & Hove Albion,28,9,10,9,38,35,3,37,2025-2026,2026-03-01,9
12,Sunderland,28,9,10,9,29,34,-5,37,2025-2026,2026-03-01,9
13,Newcastle United,28,10,6,12,40,42,-2,36,2025-2026,2026-03-01,9
14,Crystal Palace,28,9,8,11,30,34,-4,35,2025-2026,2026-03-01,9
15,Leeds United,28,7,10,11,37,47,-10,31,2025-2026,2026-03-01,9
16,Tottenham Hotspur,28,7,8,13,38,43,-5,29,2025-2026,2026-03-01,9
17,Nottingham Forest,28,7,6,15,26,41,-15,27,2025-2026,2026-03-01,9
18,West Ham United,28,6,7,15,34,54,-20,25,2025-2026,2026-03-01,9
19,Burnley,28,4,7,17,32,56,-24,19,2025-2026,2026-03-01,9
20,Wolverhampton Wanderers,29,2,7,20,20,51,-31,13,2025-2026,2026-03-01,9
