rk,squad,mp,w,d,l,gd,pts,season,fetched_date,week_no
1,Liverpool,24,17,6,1,35,57,2025-2026,2025-02-17,8
2,Arsenal,25,15,8,2,29,53,2025-2026,2025-02-17,8
3,Nottingham Forest,25,14,5,6,12,47,2025-2026,2025-02-17,8
4,Manchester City,25,13,5,7,17,44,2025-2026,2025-02-17,8
5,Bournemouth,25,12,7,6,15,43,2025-2026,2025-02-17,8
6,Chelsea,25,12,7,6,13,43,2025-2026,2025-02-17,8
7,Newcastle United,25,12,5,8,9,41,2025-2026,2025-02-17,8
8,Fulham,25,10,9,6,5,39,2025-2026,2025-02-17,8
9,Aston Villa,25,10,8,7,-3,38,2025-2026,2025-02-17,8
10,Brighton,25,9,10,6,0,37,2025-2026,2025-02-17,8
11,Brentford,25,10,4,11,1,34,2025-2026,2025-02-17,8
12,Crystal Palace,25,7,9,9,-3,30,2025-2026,2025-02-17,8
13,Everton,25,7,9,9,-4,30,2025-2026,2025-02-17,8
14,Manchester United,24,8,5,11,-6,29,2025-2026,2025-02-17,8
15,Tottenham,24,8,3,13,11,27,2025-2026,2025-02-17,8
16,West Ham,25,7,6,12,-18,27,2025-2026,2025-02-17,8
17,Wolves,24,5,4,15,-18,19,2025-2026,2025-02-17,8
18,Ipswich Town,25,3,8,14,-27,17,2025-2026,2025-02-17,8
19,Leicester City,25,4,5,16,-30,17,2025-2026,2025-02-17,8
20,Southampton,25,2,3,20,-38,9,2025-2026,2025-02-17,8
