rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,30,20,7,3,59,22,37,67,2025-2026,2026-03-11,11
2,Manchester City,29,18,6,5,59,27,32,60,2025-2026,2026-03-11,11
3,Manchester United,29,14,9,6,51,40,11,51,2025-2026,2026-03-11,11
4,Aston Villa,29,15,6,8,39,34,5,51,2025-2026,2026-03-11,11
5,Chelsea,29,13,9,7,53,34,19,48,2025-2026,2026-03-11,11
6,Liverpool,29,14,6,9,48,39,9,48,2025-2026,2026-03-11,11
7,Brentford,29,13,5,11,44,40,4,44,2025-2026,2026-03-11,11
8,Everton,29,12,7,10,34,33,1,43,2025-2026,2026-03-11,11
9,Bournemouth,29,9,13,7,44,46,-2,40,2025-2026,2026-03-11,11
10,Fulham,29,12,4,13,40,43,-3,40,2025-2026,2026-03-11,11
11,Sunderland,29,10,10,9,30,34,-4,40,2025-2026,2026-03-11,11
12,Newcastle United,29,11,6,12,42,43,-1,39,2025-2026,2026-03-11,11
13,Crystal Palace,29,10,8,11,33,35,-2,38,2025-2026,2026-03-11,11
14,Brighton & Hove Albion,29,9,10,10,38,36,2,37,2025-2026,2026-03-11,11
15,Leeds United,29,7,10,12,37,48,-11,31,2025-2026,2026-03-11,11
16,Tottenham Hotspur,29,7,8,14,39,46,-7,29,2025-2026,2026-03-11,11
17,Nottingham Forest,29,7,7,15,28,43,-15,28,2025-2026,2026-03-11,11
18,West Ham United,29,7,7,15,35,54,-19,28,2025-2026,2026-03-11,11
19,Burnley,29,4,7,18,32,58,-26,19,2025-2026,2026-03-11,11
20,Wolverhampton Wanderers,30,3,7,20,22,52,-30,16,2025-2026,2026-03-11,11
