rk,squad,mp,w,d,l,gd,pts,season,fetched_date,week_no
1,Liverpool,22,16,5,1,33,53,2025-2026,2025-01-26,4
2,Arsenal,23,13,8,2,23,47,2025-2026,2025-01-26,4
3,Nottingham Forest,23,13,5,5,6,44,2025-2026,2025-01-26,4
4,Manchester City,23,12,5,6,17,41,2025-2026,2025-01-26,4
5,Newcastle United,23,12,5,6,14,41,2025-2026,2025-01-26,4
6,Chelsea,23,11,7,5,15,40,2025-2026,2025-01-26,4
7,Bournemouth,23,11,7,5,15,40,2025-2026,2025-01-26,4
8,Aston Villa,22,10,6,6,-1,36,2025-2026,2025-01-26,4
9,Brighton,23,8,10,5,4,34,2025-2026,2025-01-26,4
10,Fulham,22,8,9,5,4,33,2025-2026,2025-01-26,4
11,Brentford,22,8,4,10,1,28,2025-2026,2025-01-26,4
12,Crystal Palace,22,6,9,7,-3,27,2025-2026,2025-01-26,4
13,Manchester United,22,7,5,10,-5,26,2025-2026,2025-01-26,4
14,West Ham,22,7,5,10,-16,26,2025-2026,2025-01-26,4
15,Tottenham,22,7,3,12,10,24,2025-2026,2025-01-26,4
16,Everton,22,5,8,9,-9,23,2025-2026,2025-01-26,4
17,Wolves,23,4,4,15,-20,16,2025-2026,2025-01-26,4
18,Ipswich Town,23,3,7,13,-26,16,2025-2026,2025-01-26,4
19,Leicester City,22,3,5,14,-25,14,2025-2026,2025-01-26,4
20,Southampton,23,1,3,19,-37,6,2025-2026,2025-01-26,4
