rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Arsenal,10,8,1,1,18,3,15,25,2.5,16.9,5.6,11.3,1.13,W W W W W,60144,Viktor Gyökeres - 4,David Raya,,2025-2026,2025-11-02,44
2,Bournemouth,9,5,3,1,16,11,5,18,2.0,11.0,11.1,-0.1,-0.01,D D W D W,11164,Antoine Semenyo - 6,Đorđe Petrović,,2025-2026,2025-11-02,44
3,Liverpool,10,6,0,4,18,14,4,18,1.8,16.9,12.4,4.6,0.46,L L L L W,60362,Mohamed Salah - 4,Alisson,,2025-2026,2025-11-02,44
4,Tottenham,10,5,2,3,17,8,9,17,1.7,10.1,14.4,-4.3,-0.43,D W L W L,61071,"Richarlison, Micky van de Ven - 3",Guglielmo Vicario,,2025-2026,2025-11-02,44
5,Chelsea,10,5,2,3,18,11,7,17,1.7,17.1,13.2,3.8,0.38,L W W L W,39609,"João Pedro, Enzo Fernández... - 3",Robert Sánchez,,2025-2026,2025-11-02,44
6,Sunderland,9,5,2,2,11,7,4,17,1.89,8.6,10.4,-1.8,-0.2,D W L W W,46335,Wilson Isidor - 4,Robin Roefs,,2025-2026,2025-11-02,44
7,Manchester United,10,5,2,3,17,16,1,17,1.7,17.4,15.5,1.8,0.18,L W W W D,73997,Bryan Mbeumo - 4,Altay Bayındır,,2025-2026,2025-11-02,44
8,Manchester City,9,5,1,3,17,7,10,16,1.78,15.6,9.0,6.6,0.74,D W W W L,52311,Erling Haaland - 11,Gianluigi Donnarumma,,2025-2026,2025-11-02,44
9,Crystal Palace,10,4,4,2,14,9,5,16,1.6,18.2,12.2,6.0,0.6,W L D L W,25071,Jean-Philippe Mateta - 6,Dean Henderson,,2025-2026,2025-11-02,44
10,Brighton,10,4,3,3,17,15,2,15,1.5,16.2,12.3,4.0,0.4,W D W L W,31517,Danny Welbeck - 6,Bart Verbruggen,,2025-2026,2025-11-02,44
11,Aston Villa,10,4,3,3,9,10,-1,15,1.5,7.5,12.9,-5.5,-0.55,W W W W L,41242,"Emi Buendía, Donyell Malen... - 2",Emiliano Martínez,,2025-2026,2025-11-02,44
12,Brentford,10,4,1,5,14,16,-2,13,1.3,13.9,12.9,1.1,0.11,W L W W L,17014,Thiago - 6,Caoimhín Kelleher,,2025-2026,2025-11-02,44
13,Newcastle United,9,3,3,3,9,8,1,12,1.33,11.9,7.0,4.9,0.55,D L W L W,52183,Nick Woltemade - 4,Nick Pope,,2025-2026,2025-11-02,44
14,Fulham,10,3,2,5,12,14,-2,11,1.1,10.3,13.0,-2.7,-0.27,L L L L W,27020,"Harry Wilson, Ryan Sessegnon - 2",Bernd Leno,,2025-2026,2025-11-02,44
15,Everton,9,3,2,4,9,12,-3,11,1.22,12.5,13.6,-1.1,-0.12,L D W L L,51863,Iliman Ndiaye - 3,Jordan Pickford,,2025-2026,2025-11-02,44
16,Leeds United,10,3,2,5,9,17,-8,11,1.1,12.0,12.0,-0.1,-0.01,D L L W L,36722,"Joe Rodon, Noah Okafor - 2","Karl Darlow, Lucas Perri",,2025-2026,2025-11-02,44
17,Burnley,10,3,1,6,12,19,-7,10,1.0,7.1,20.4,-13.3,-1.33,L L W W L,21524,Jaidon Anthony - 4,Martin Dúbravka,,2025-2026,2025-11-02,44
18,Nottingham Forest,10,1,3,6,7,19,-12,6,0.6,11.0,15.8,-4.8,-0.48,L L L L D,30333,Chris Wood - 2,Matz Sels,,2025-2026,2025-11-02,44
19,West Ham,9,1,1,7,7,20,-13,4,0.44,7.6,14.8,-7.2,-0.8,L D L L L,62457,Jarrod Bowen - 3,Alphonse Areola,,2025-2026,2025-11-02,44
20,Wolves,10,0,2,8,7,22,-15,2,0.2,9.4,12.7,-3.3,-0.33,D D L L L,30231,"Hwang Hee-chan, Santiago Bueno... - 1",Sam Johnstone,,2025-2026,2025-11-02,44
