rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,31,22,7,2,72,30,42,73,2.35,67.9,26.8,41.1,1.33,W W W W L,60311,Mohamed Salah - 27,Alisson,,2024-2025,2025-04-13,15
2,Arsenal,32,17,12,3,57,27,30,63,1.97,49.4,27.1,22.4,0.7,D W W D D,60270,Kai Havertz - 9,David Raya,,2024-2025,2025-04-13,15
3,Nottingham Forest,32,17,6,9,51,38,13,57,1.78,39.0,40.0,-1.0,-0.03,W W W L L,30098,Chris Wood - 18,Matz Sels,,2024-2025,2025-04-13,15
4,Manchester City,32,16,7,9,62,42,20,55,1.72,57.8,42.2,15.6,0.49,L D W D W,52819,Erling Haaland - 21,Ederson,,2024-2025,2025-04-13,15
5,Aston Villa,32,15,9,8,49,46,3,54,1.69,48.4,42.7,5.7,0.18,L W W W W,42008,Ollie Watkins - 14,Emiliano Martínez,,2024-2025,2025-04-13,15
6,Chelsea,31,15,8,8,54,37,17,53,1.71,58.1,41.5,16.7,0.54,W W L W D,39626,Cole Palmer - 14,Robert Sánchez,,2024-2025,2025-04-13,15
7,Newcastle United,30,16,5,9,52,39,13,53,1.77,50.7,37.4,13.4,0.45,W L W W W,52177,Alexander Isak - 20,Nick Pope,,2024-2025,2025-04-13,15
8,Fulham,31,13,9,9,47,42,5,48,1.55,41.5,36.7,4.8,0.16,W L W L W,26666,Raúl Jiménez - 10,Bernd Leno,,2024-2025,2025-04-13,15
9,Brighton,32,12,12,8,51,49,2,48,1.5,49.3,44.3,5.0,0.16,W D L L D,31888,João Pedro - 10,Bart Verbruggen,,2024-2025,2025-04-13,15
10,Bournemouth,31,12,9,10,51,40,11,45,1.45,56.9,40.6,16.3,0.53,L D L L D,11209,Justin Kluivert - 12,Kepa Arrizabalaga,,2024-2025,2025-04-13,15
11,Brentford,32,12,7,13,52,48,4,43,1.34,47.6,48.7,-1.1,-0.03,L W L D D,18936,Bryan Mbeumo - 16,Mark Flekken,,2024-2025,2025-04-13,15
12,Crystal Palace,31,11,10,10,41,40,1,43,1.39,47.2,40.8,6.5,0.21,W W D W L,25074,Jean-Philippe Mateta - 13,Dean Henderson,,2024-2025,2025-04-13,15
13,Manchester United,31,10,8,13,37,41,-4,38,1.23,41.4,45.3,-3.9,-0.13,W D W L D,73733,Bruno Fernandes - 8,André Onana,,2024-2025,2025-04-13,15
14,Everton,32,8,14,10,34,38,-4,38,1.19,35.0,39.4,-4.4,-0.14,D D L D W,38282,Iliman Ndiaye - 7,Jordan Pickford,,2024-2025,2025-04-13,15
15,Tottenham,31,11,4,16,58,45,13,37,1.19,50.2,50.4,-0.2,-0.01,L D L L W,61274,Brennan Johnson - 11,Guglielmo Vicario,,2024-2025,2025-04-13,15
16,West Ham,31,9,8,14,35,52,-17,35,1.13,38.6,50.5,-11.8,-0.38,W L D L D,62463,Jarrod Bowen - 8,Alphonse Areola,,2024-2025,2025-04-13,15
17,Wolves,31,9,5,17,43,59,-16,32,1.03,35.4,48.4,-13.0,-0.42,L D W W W,30505,Matheus Cunha - 13,José Sá,,2024-2025,2025-04-13,15
18,Ipswich Town,31,4,8,19,31,65,-34,20,0.65,29.1,61.8,-32.7,-1.06,L L L W L,29766,Liam Delap - 12,Arijanet Muric,,2024-2025,2025-04-13,15
19,Leicester City,32,4,6,22,27,72,-45,18,0.56,27.7,62.6,-34.9,-1.09,L L L L D,31493,Jamie Vardy - 7,Mads Hermansen,,2024-2025,2025-04-13,15
20,Southampton,32,2,4,26,23,77,-54,10,0.31,28.9,73.4,-44.5,-1.39,L L D L L,30974,Paul Onuachu - 4,Aaron Ramsdale,,2024-2025,2025-04-13,15
