rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,3,3,0,0,8,4,4,9,3.0,3.4,3.2,0.2,0.08,W W W,60315,Hugo Ekitike - 2,Alisson,,2025-2026,2025-09-03,36
2,Chelsea,3,2,1,0,7,1,6,7,2.33,6.4,2.3,4.1,1.38,D W W,39678,"João Pedro, Enzo Fernández - 2",Robert Sánchez,,2025-2026,2025-09-03,36
3,Arsenal,3,2,0,1,6,1,5,6,2.0,4.4,2.2,2.2,0.75,W W L,60110,"Viktor Gyökeres, Jurriën Timber - 2",David Raya,,2025-2026,2025-09-03,36
4,Tottenham,3,2,0,1,5,1,4,6,2.0,3.6,4.0,-0.4,-0.13,W W L,61164,"Richarlison, Brennan Johnson - 2",Guglielmo Vicario,,2025-2026,2025-09-03,36
5,Everton,3,2,0,1,5,3,2,6,2.0,4.3,5.5,-1.2,-0.41,L W W,51759,Iliman Ndiaye - 2,Jordan Pickford,,2025-2026,2025-09-03,36
6,Sunderland,3,2,0,1,5,3,2,6,2.0,3.0,2.8,0.3,0.1,W L W,46250,Wilson Isidor - 2,Robin Roefs,,2025-2026,2025-09-03,36
7,Bournemouth,3,2,0,1,4,4,0,6,2.0,4.5,2.9,1.7,0.55,L W W,11070,Antoine Semenyo - 2,Đorđe Petrović,,2025-2026,2025-09-03,36
8,Crystal Palace,3,1,2,0,4,1,3,5,1.67,4.4,3.6,0.8,0.27,D D W,24876,Ismaila Sarr - 2,Dean Henderson,,2025-2026,2025-09-03,36
9,Manchester United,3,1,1,1,4,4,0,4,1.33,6.7,4.3,2.4,0.82,L D W,73475,"Bruno Fernandes, Bryan Mbeumo - 1",Altay Bayındır,,2025-2026,2025-09-03,36
10,Nottingham Forest,3,1,1,1,4,5,-1,4,1.33,3.5,4.9,-1.5,-0.49,W D L,30082,Chris Wood - 2,Matz Sels,,2025-2026,2025-09-03,36
11,Brighton,3,1,1,1,3,4,-1,4,1.33,6.1,4.1,2.0,0.65,D L W,31482,"James Milner, Matt O'Riley... - 1",Bart Verbruggen,,2025-2026,2025-09-03,36
12,Leeds United,3,1,1,1,1,5,-4,4,1.33,2.9,3.9,-1.0,-0.34,W L D,36774,Lukas Nmecha - 1,Lucas Perri,,2025-2026,2025-09-03,36
13,Manchester City,3,1,0,2,5,4,1,3,1.0,5.8,3.9,1.9,0.62,W L L,51785,Erling Haaland - 3,James Trafford,,2025-2026,2025-09-03,36
14,Burnley,3,1,0,2,4,6,-2,3,1.0,3.1,6.6,-3.6,-1.18,L W L,21285,Jaidon Anthony - 2,Martin Dúbravka,,2025-2026,2025-09-03,36
15,Brentford,3,1,0,2,3,5,-2,3,1.0,3.8,4.5,-0.7,-0.24,L W L,16838,Thiago - 2,Caoimhín Kelleher,,2025-2026,2025-09-03,36
16,West Ham,3,1,0,2,4,8,-4,3,1.0,3.7,4.2,-0.5,-0.17,L L W,62462,Lucas Paquetá - 2,Mads Hermansen,,2025-2026,2025-09-03,36
17,Newcastle United,3,0,2,1,2,3,-1,2,0.67,2.9,1.6,1.3,0.43,D L D,52230,"Bruno Guimarães, William Osula - 1",Nick Pope,,2025-2026,2025-09-03,36
18,Fulham,3,0,2,1,2,4,-2,2,0.67,3.4,5.2,-1.8,-0.6,D D L,27512,"Emile Smith Rowe, Rodrigo Muniz - 1",Bernd Leno,,2025-2026,2025-09-03,36
19,Aston Villa,3,0,1,2,0,4,-4,1,0.33,2.5,5.3,-2.8,-0.93,D L L,41781,,Marco Bizot,,2025-2026,2025-09-03,36
20,Wolves,3,0,0,3,2,8,-6,0,0.0,2.1,5.6,-3.5,-1.16,L L L,30864,"Hwang Hee-chan, Rodrigo Gomes - 1",José Sá,,2025-2026,2025-09-03,36
