team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t41,Birmingham City,1,1,21,6,2,51,19,32,69,29,"W,W,W,W,D",7
t112,Wycombe Wanderers,2,2,17,9,4,56,31,25,60,30,"D,D,W,D,W",7
t109,Wrexham,3,3,17,7,6,45,25,20,58,30,"W,W,L,D,L",7
t48,Stockport County,4,4,16,9,7,49,30,19,57,32,"W,D,W,W,W",7
t38,Huddersfield Town,5,5,15,7,8,43,27,16,52,30,"W,D,L,L,L",7
t85,Leyton Orient,9,6,15,5,10,46,27,19,50,30,"W,W,L,W,W",7
t33,Charlton Athletic,6,7,14,8,9,40,30,10,50,31,"L,W,W,D,W",7
t30,Bolton Wanderers,7,8,15,5,11,50,48,2,50,31,"W,W,L,W,W",7
t108,Reading,8,9,14,7,10,46,43,3,49,31,"W,D,D,W,L",7
t37,Barnsley,10,10,12,7,12,43,43,0,43,31,"L,L,D,L,L",7
t92,Blackpool,13,11,9,14,8,45,44,1,41,31,"D,D,D,D,W",7
t288,Stevenage,12,12,11,8,11,29,31,-2,41,30,"D,L,L,W,W",7
t83,Lincoln City,11,13,10,10,11,38,38,0,40,31,"L,D,D,L,W",7
t72,Rotherham United,15,14,10,8,13,35,37,-2,38,31,"L,D,L,L,W",7
t77,Mansfield Town,14,15,11,5,14,38,41,-3,38,30,"D,L,L,L,L",7
t71,Exeter City,18,16,10,5,15,34,46,-12,35,30,"W,L,L,L,D",7
t96,Bristol Rovers,19,17,10,5,15,32,46,-14,35,30,"W,D,W,L,L",7
t111,Wigan Athletic,16,18,9,7,13,27,30,-3,34,29,"L,D,L,W,L",7
t75,Northampton Town,17,19,8,9,14,29,47,-18,33,31,"L,W,W,L,D",7
t73,Peterborough United,20,20,8,7,16,47,58,-11,31,31,"D,L,L,W,L",7
t1525,Crawley Town,23,21,7,7,16,34,54,-20,28,30,"D,W,L,L,W",7
t74,Shrewsbury Town,22,22,7,6,18,33,53,-20,27,31,"L,D,W,W,L",7
t587,Burton Albion,21,23,5,11,15,32,48,-16,26,31,"L,D,D,W,W",7
t101,Cambridge United,24,24,5,8,18,30,56,-26,23,31,"L,L,D,D,L",7
