rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,week_no
1,Manchester United,1,1,0,0,1,0,1,3,3.0,2.5,0.4,2.1,2.09,W,73297.0,Joshua Zirkzee - 1,André Onana,,2024-2025,33
2,Arsenal,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
3,Aston Villa,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
4,Bournemouth,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
5,Brentford,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
6,Brighton,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
7,Chelsea,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
8,Crystal Palace,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
9,Everton,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
10,Ipswich Town,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
11,Leicester City,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
12,Liverpool,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
13,Manchester City,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
14,Newcastle United,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
15,Nottingham Forest,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
16,Southampton,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
17,Tottenham,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
18,West Ham,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
19,Wolves,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,33
20,Fulham,1,0,0,1,0,1,-1,0,0.0,0.4,2.5,-2.1,-2.09,L,,,Bernd Leno,,2024-2025,33
