rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Manchester City,33,21,7,5,66,29,37,70,2025-2026,2026-04-22,17
2,Arsenal,33,21,7,5,63,26,37,70,2025-2026,2026-04-22,17
3,Manchester United,33,16,10,7,58,45,13,58,2025-2026,2026-04-22,17
4,Aston Villa,33,17,7,9,47,41,6,58,2025-2026,2026-04-22,17
5,Liverpool,33,16,7,10,54,43,11,55,2025-2026,2026-04-22,17
6,Brighton & Hove Albion,34,13,11,10,48,39,9,50,2025-2026,2026-04-22,17
7,Bournemouth,34,11,16,7,52,52,0,49,2025-2026,2026-04-22,17
8,Chelsea,34,13,9,12,53,45,8,48,2025-2026,2026-04-22,17
9,Brentford,33,13,9,11,48,44,4,48,2025-2026,2026-04-22,17
10,Everton,33,13,8,12,40,39,1,47,2025-2026,2026-04-22,17
11,Sunderland,33,12,10,11,36,40,-4,46,2025-2026,2026-04-22,17
12,Fulham,33,13,6,14,43,46,-3,45,2025-2026,2026-04-22,17
13,Crystal Palace,32,11,10,11,35,36,-1,43,2025-2026,2026-04-22,17
14,Newcastle United,33,12,6,15,46,49,-3,42,2025-2026,2026-04-22,17
15,Leeds United,34,9,13,12,44,51,-7,40,2025-2026,2026-04-22,17
16,Nottingham Forest,33,9,9,15,36,45,-9,36,2025-2026,2026-04-22,17
17,West Ham United,33,8,9,16,40,57,-17,33,2025-2026,2026-04-22,17
18,Tottenham Hotspur,33,7,10,16,42,53,-11,31,2025-2026,2026-04-22,17
19,Burnley,34,4,8,22,34,68,-34,20,2025-2026,2026-04-22,17
20,Wolverhampton Wanderers,33,3,8,22,24,61,-37,17,2025-2026,2026-04-22,17
