rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,17,12,3,2,31,10,21,39,2025-2026,2025-12-21,51
2,Manchester City,17,12,1,4,41,16,25,37,2025-2026,2025-12-21,51
3,Aston Villa,17,11,3,3,27,18,9,36,2025-2026,2025-12-21,51
4,Chelsea,17,8,5,4,29,17,12,29,2025-2026,2025-12-21,51
5,Liverpool,17,9,2,6,28,25,3,29,2025-2026,2025-12-21,51
6,Sunderland,17,7,6,4,19,17,2,27,2025-2026,2025-12-21,51
7,Manchester United,17,7,5,5,31,28,3,26,2025-2026,2025-12-21,51
8,Crystal Palace,17,7,5,5,21,19,2,26,2025-2026,2025-12-21,51
9,Brighton & Hove Albion,17,6,6,5,25,23,2,24,2025-2026,2025-12-21,51
10,Everton,17,7,3,7,18,20,-2,24,2025-2026,2025-12-21,51
11,Newcastle United,17,6,5,6,23,22,1,23,2025-2026,2025-12-21,51
12,Brentford,17,7,2,8,24,25,-1,23,2025-2026,2025-12-21,51
13,Tottenham Hotspur,17,6,4,7,26,23,3,22,2025-2026,2025-12-21,51
14,Bournemouth,17,5,7,5,26,29,-3,22,2025-2026,2025-12-21,51
15,Fulham,16,6,2,8,23,26,-3,20,2025-2026,2025-12-21,51
16,Leeds United,17,5,4,8,24,31,-7,19,2025-2026,2025-12-21,51
17,Nottingham Forest,16,5,3,8,17,25,-8,18,2025-2026,2025-12-21,51
18,West Ham United,17,3,4,10,19,35,-16,13,2025-2026,2025-12-21,51
19,Burnley,17,3,2,12,19,34,-15,11,2025-2026,2025-12-21,51
20,Wolverhampton Wanderers,17,0,2,15,9,37,-28,2,2025-2026,2025-12-21,51
