rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Manchester City,4,4,0,0,11,3,8,12,3.0,9.2,2.9,6.3,1.57,W W W W,53147,Erling Haaland - 9,Ederson,,2024-2025,2024-09-17,38
2,Arsenal,4,3,1,0,6,1,5,10,2.5,5.0,4.2,0.8,0.2,W W D W,60294,Kai Havertz - 2,David Raya,,2024-2025,2024-09-17,38
3,Newcastle United,4,3,1,0,6,3,3,10,2.5,5.2,6.5,-1.3,-0.32,W D W W,52204,Harvey Barnes - 2,Nick Pope,,2024-2025,2024-09-17,38
4,Liverpool,4,3,0,1,7,1,6,9,2.25,7.8,2.8,5.0,1.26,W W W L,60017,"Mohamed Salah, Luis Díaz - 3",Alisson,,2024-2025,2024-09-17,38
5,Aston Villa,4,3,0,1,7,6,1,9,2.25,6.7,4.5,2.2,0.55,W L W W,41587,Jhon Durán - 3,Emiliano Martínez,,2024-2025,2024-09-17,38
6,Brighton,4,2,2,0,6,2,4,8,2.0,6.9,4.4,2.5,0.62,W W D D,36555,"Danny Welbeck, João Pedro - 2","Jason Steele, Bart Verbruggen",,2024-2025,2024-09-17,38
7,Nottingham Forest,4,2,2,0,4,2,2,8,2.0,5.0,3.0,2.0,0.5,D W D W,29841,Chris Wood - 2,Matz Sels,,2024-2025,2024-09-17,38
8,Chelsea,4,2,1,1,8,5,3,7,1.75,5.7,5.0,0.7,0.18,L W D W,39558,Noni Madueke - 3,Robert Sánchez,,2024-2025,2024-09-17,38
9,Brentford,4,2,0,2,6,6,0,6,1.5,5.9,7.3,-1.4,-0.36,W L W L,16972,"Yoane Wissa, Bryan Mbeumo - 3",Mark Flekken,,2024-2025,2024-09-17,38
10,Manchester United,4,2,0,2,5,5,0,6,1.5,7.9,5.4,2.4,0.61,W L L W,73518,"Matthijs de Ligt, Marcus Rashford... - 1",André Onana,,2024-2025,2024-09-17,38
11,Bournemouth,4,1,2,1,5,5,0,5,1.25,7.6,5.5,2.0,0.51,D D W L,11198,Antoine Semenyo - 2,Neto,,2024-2025,2024-09-17,38
12,Fulham,4,1,2,1,4,4,0,5,1.25,4.6,4.2,0.4,0.1,L W D D,25965,"Adama Traoré, Raúl Jiménez... - 1",Bernd Leno,,2024-2025,2024-09-17,38
13,Tottenham,4,1,1,2,6,4,2,4,1.0,5.5,4.5,1.0,0.26,D W L L,61501,Son Heung-min - 2,Guglielmo Vicario,,2024-2025,2024-09-17,38
14,West Ham,4,1,1,2,5,6,-1,4,1.0,5.1,7.8,-2.7,-0.67,L W L D,62466,"Danny Ings, Tomáš Souček... - 1",Alphonse Areola,,2024-2025,2024-09-17,38
15,Leicester City,4,0,2,2,5,7,-2,2,0.5,3.3,6.8,-3.5,-0.88,D L L D,31851,Jamie Vardy - 2,Mads Hermansen,,2024-2025,2024-09-17,38
16,Crystal Palace,4,0,2,2,4,7,-3,2,0.5,5.6,6.5,-1.0,-0.24,L L D D,25099,Jean-Philippe Mateta - 2,Dean Henderson,,2024-2025,2024-09-17,38
17,Ipswich Town,4,0,2,2,2,7,-5,2,0.5,1.5,8.5,-6.9,-1.73,L L D D,29766,"Sammie Szmodics, Liam Delap - 1",Arijanet Muric,,2024-2025,2024-09-17,38
18,Wolves,4,0,1,3,4,11,-7,1,0.25,4.4,5.4,-1.0,-0.25,L L D L,31235,"Mario Lemina, Jean-Ricner Bellegarde... - 1","Sam Johnstone, José Sá",,2024-2025,2024-09-17,38
19,Southampton,4,0,0,4,1,8,-7,0,0.0,4.5,7.9,-3.4,-0.85,L L L L,31147,Yukinari Sugawara - 1,"Alex McCarthy, Aaron Ramsdale",,2024-2025,2024-09-17,38
20,Everton,4,0,0,4,4,13,-9,0,0.0,4.1,8.3,-4.2,-1.05,L L L L,39011,Dominic Calvert-Lewin - 2,Jordan Pickford,,2024-2025,2024-09-17,38
