rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Manchester City,3,3,0,0,9,2,7,9,3.0,7.2,1.9,5.3,1.77,W W W,,Erling Haaland - 7,Ederson,,2024-2025,2024-09-01,35
2,Brighton,3,2,1,0,6,2,4,7,2.33,5.5,3.9,1.6,0.55,W W D,31537.0,"Danny Welbeck, João Pedro - 2",Jason Steele,,2024-2025,2024-09-01,35
3,Arsenal,3,2,1,0,5,1,4,7,2.33,4.1,3.7,0.4,0.13,W W D,60294.0,Kai Havertz - 2,David Raya,,2024-2025,2024-09-01,35
4,Liverpool,2,2,0,0,4,0,4,6,3.0,5.1,1.0,4.1,2.05,W W,,Mohamed Salah - 2,Alisson,,2024-2025,2024-09-01,35
5,Brentford,3,2,0,1,5,4,1,6,2.0,4.9,5.3,-0.5,-0.16,W L W,16972.0,Bryan Mbeumo - 3,Mark Flekken,,2024-2025,2024-09-01,35
6,Aston Villa,3,2,0,1,4,4,0,6,2.0,4.6,3.6,1.0,0.33,W L W,,"Amadou Onana, Jhon Durán - 2",Emiliano Martínez,,2024-2025,2024-09-01,35
7,Bournemouth,3,1,2,0,5,4,1,5,1.67,5.7,4.8,0.9,0.3,D D W,11161.0,Antoine Semenyo - 2,Neto,,2024-2025,2024-09-01,35
8,Nottingham Forest,3,1,2,0,3,2,1,5,1.67,4.7,2.2,2.5,0.85,D W D,29841.0,Chris Wood - 2,Matz Sels,,2024-2025,2024-09-01,35
9,Tottenham,2,1,1,0,5,1,4,4,2.0,3.6,2.0,1.6,0.79,D W,61357.0,Son Heung-min - 2,Guglielmo Vicario,,2024-2025,2024-09-01,35
10,Newcastle United,2,1,1,0,2,1,1,4,2.0,1.9,4.0,-2.1,-1.05,W D,52196.0,"Joelinton, Anthony Gordon - 1",Nick Pope,,2024-2025,2024-09-01,35
11,Fulham,3,1,1,1,3,3,0,4,1.33,3.1,3.5,-0.4,-0.12,L W D,25401.0,"Adama Traoré, Alex Iwobi... - 1",Bernd Leno,,2024-2025,2024-09-01,35
12,Chelsea,2,1,0,1,6,4,2,3,1.5,2.6,2.7,-0.1,-0.07,L W,39818.0,Noni Madueke - 3,Robert Sánchez,,2024-2025,2024-09-01,35
13,Manchester United,2,1,0,1,2,2,0,3,1.5,3.9,2.5,1.3,0.67,W L,73297.0,"Joshua Zirkzee, Amad Diallo - 1",André Onana,,2024-2025,2024-09-01,35
14,West Ham,3,1,0,2,4,5,-1,3,1.0,4.3,6.5,-2.1,-0.71,L W L,62463.0,"Tomáš Souček, Lucas Paquetá... - 1",Alphonse Areola,,2024-2025,2024-09-01,35
15,Leicester City,3,0,1,2,3,5,-2,1,0.33,2.1,4.3,-2.2,-0.74,D L L,31851.0,"Jamie Vardy, Wout Faes... - 1",Mads Hermansen,,2024-2025,2024-09-01,35
16,Ipswich Town,3,0,1,2,2,7,-5,1,0.33,1.2,6.8,-5.7,-1.89,L L D,29766.0,"Sammie Szmodics, Liam Delap - 1",Arijanet Muric,,2024-2025,2024-09-01,35
17,Wolves,3,0,1,2,3,9,-6,1,0.33,3.2,4.0,-0.8,-0.26,L L D,31235.0,"Jean-Ricner Bellegarde, Jørgen Strand Larsen... - 1",José Sá,,2024-2025,2024-09-01,35
18,Crystal Palace,2,0,0,2,1,4,-3,0,0.0,2.5,2.9,-0.4,-0.22,L L,25099.0,,Dean Henderson,,2024-2025,2024-09-01,35
19,Southampton,3,0,0,3,1,5,-4,0,0.0,3.5,5.2,-1.7,-0.57,L L L,31150.0,Yukinari Sugawara - 1,Alex McCarthy,,2024-2025,2024-09-01,35
20,Everton,3,0,0,3,2,10,-8,0,0.0,3.2,6.1,-2.8,-0.95,L L L,38805.0,"Michael Keane, Dominic Calvert-Lewin - 1",Jordan Pickford,,2024-2025,2024-09-01,35
