rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,7,6,0,1,13,2,11,18,2.57,13.8,5.1,8.6,1.23,W L W W W,60236,Luis Díaz - 5,Alisson,,2024-2025,2024-10-06,40
2,Manchester City,7,5,2,0,17,8,9,17,2.43,13.8,7.8,6.1,0.87,W W D D W,52714,Erling Haaland - 10,Ederson,,2024-2025,2024-10-06,40
3,Arsenal,7,5,2,0,15,6,9,17,2.43,12.8,7.2,5.6,0.8,D W D W W,60304,Kai Havertz - 4,David Raya,,2024-2025,2024-10-06,40
4,Chelsea,6,4,1,1,15,7,8,13,2.17,12.1,7.0,5.1,0.85,W D W W W,39537,Cole Palmer - 6,Robert Sánchez,,2024-2025,2024-10-06,40
5,Aston Villa,6,4,1,1,12,9,3,13,2.17,9.3,6.2,3.1,0.51,L W W W D,41046,"Ollie Watkins, Jhon Durán - 4",Emiliano Martínez,,2024-2025,2024-10-06,40
6,Newcastle United,7,3,3,1,8,7,1,12,1.71,10.4,10.3,0.1,0.01,W W L D D,52218,Harvey Barnes - 3,Nick Pope,,2024-2025,2024-10-06,40
7,Fulham,7,3,2,2,10,8,2,11,1.57,10.8,8.1,2.7,0.38,D D W W L,25876,Raúl Jiménez - 3,Bernd Leno,,2024-2025,2024-10-06,40
8,Tottenham,6,3,1,2,12,5,7,10,1.67,13.4,6.3,7.2,1.19,W L L W W,61416,"Son Heung-min, Dominic Solanke... - 2",Guglielmo Vicario,,2024-2025,2024-10-06,40
9,Brentford,7,3,1,3,13,13,0,10,1.43,11.2,12.8,-1.6,-0.23,W L L D W,16988,Bryan Mbeumo - 6,Mark Flekken,,2024-2025,2024-10-06,40
10,Brighton,6,2,3,1,10,8,2,9,1.5,9.0,9.9,-1.0,-0.16,W D D D L,34851,Danny Welbeck - 3,Bart Verbruggen,,2024-2025,2024-10-06,40
11,Nottingham Forest,6,2,3,1,6,5,1,9,1.5,7.2,5.4,1.9,0.31,W D W D L,29940,Chris Wood - 3,Matz Sels,,2024-2025,2024-10-06,40
12,West Ham,7,2,2,3,10,11,-1,8,1.14,10.5,11.0,-0.5,-0.07,L D L D W,62468,"Tomáš Souček, Lucas Paquetá... - 2",Alphonse Areola,,2024-2025,2024-10-06,40
13,Bournemouth,7,2,2,3,8,10,-2,8,1.14,12.1,8.9,3.2,0.45,W L L W L,11213,Antoine Semenyo - 3,Kepa Arrizabalaga,,2024-2025,2024-10-06,40
14,Manchester United,6,2,1,3,5,8,-3,7,1.17,10.4,10.8,-0.4,-0.07,L L W D L,73541,"Matthijs de Ligt, Marcus Rashford... - 1",André Onana,,2024-2025,2024-10-06,40
15,Leicester City,7,1,3,3,9,12,-3,6,0.86,5.1,14.5,-9.4,-1.34,L D D L W,31793,"Jamie Vardy, Stephy Mavididi... - 2",Mads Hermansen,,2024-2025,2024-10-06,40
16,Everton,7,1,2,4,7,15,-8,5,0.71,6.8,11.9,-5.2,-0.74,L L D W D,39060,Dwight McNeil - 3,Jordan Pickford,,2024-2025,2024-10-06,40
17,Ipswich Town,7,0,4,3,6,14,-8,4,0.57,5.0,15.3,-10.3,-1.47,D D D D L,29825,Liam Delap - 4,Arijanet Muric,,2024-2025,2024-10-06,40
18,Crystal Palace,7,0,3,4,5,10,-5,3,0.43,8.1,10.4,-2.3,-0.33,D D D L L,25151,Jean-Philippe Mateta - 2,Dean Henderson,,2024-2025,2024-10-06,40
19,Southampton,7,0,1,6,4,15,-11,1,0.14,8.2,13.7,-5.5,-0.78,L L D L L,31137,"Yukinari Sugawara, Taylor Harwood-Bellis... - 1",Aaron Ramsdale,,2024-2025,2024-10-06,40
20,Wolves,7,0,1,6,9,21,-12,1,0.14,6.6,13.8,-7.3,-1.04,D L L L L,30968,Matheus Cunha - 3,Sam Johnstone,,2024-2025,2024-10-06,40
