rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,32,21,7,4,62,24,38,70,2025-2026,2026-04-11,15
2,Manchester City,30,18,7,5,60,28,32,61,2025-2026,2026-04-11,15
3,Manchester United,31,15,10,6,56,43,13,55,2025-2026,2026-04-11,15
4,Aston Villa,31,16,6,9,42,37,5,54,2025-2026,2026-04-11,15
5,Liverpool,32,15,7,10,52,42,10,52,2025-2026,2026-04-11,15
6,Chelsea,31,13,9,9,53,38,15,48,2025-2026,2026-04-11,15
7,Brentford,32,13,8,11,48,44,4,47,2025-2026,2026-04-11,15
8,Everton,32,13,8,11,39,37,2,47,2025-2026,2026-04-11,15
9,Brighton & Hove Albion,32,12,10,10,43,37,6,46,2025-2026,2026-04-11,15
10,Bournemouth,32,10,15,7,48,49,-1,45,2025-2026,2026-04-11,15
11,Fulham,32,13,5,14,43,46,-3,44,2025-2026,2026-04-11,15
12,Sunderland,31,11,10,10,32,36,-4,43,2025-2026,2026-04-11,15
13,Newcastle United,31,12,6,13,44,45,-1,42,2025-2026,2026-04-11,15
14,Crystal Palace,30,10,9,11,33,35,-2,39,2025-2026,2026-04-11,15
15,Leeds United,31,7,12,12,37,48,-11,33,2025-2026,2026-04-11,15
16,Nottingham Forest,31,8,8,15,31,43,-12,32,2025-2026,2026-04-11,15
17,West Ham United,32,8,8,16,40,57,-17,32,2025-2026,2026-04-11,15
18,Tottenham Hotspur,31,7,9,15,40,50,-10,30,2025-2026,2026-04-11,15
19,Burnley,32,4,8,20,33,63,-30,20,2025-2026,2026-04-11,15
20,Wolverhampton Wanderers,32,3,8,21,24,58,-34,17,2025-2026,2026-04-11,15
