rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Arsenal,8,6,1,1,15,3,12,19,2.38,13.6,4.7,8.9,1.11,W D W W W,60155,Viktor Gyökeres - 3,David Raya,,2025-2026,2025-10-26,43
2,Sunderland,9,5,2,2,11,7,4,17,1.89,8.6,10.4,-1.8,-0.2,D W L W W,46335,Wilson Isidor - 4,Robin Roefs,,2025-2026,2025-10-26,43
3,Manchester City,8,5,1,2,17,6,11,16,2.0,14.4,8.2,6.3,0.78,W D W W W,52311,Erling Haaland - 11,Gianluigi Donnarumma,,2025-2026,2025-10-26,43
4,Manchester United,9,5,1,3,15,14,1,16,1.78,16.2,13.6,2.6,0.29,W L W W W,73965,Bryan Mbeumo - 4,Altay Bayındır,,2025-2026,2025-10-26,43
5,Bournemouth,8,4,3,1,14,11,3,15,1.88,10.4,10.7,-0.3,-0.04,W D D W D,11154,Antoine Semenyo - 6,Đorđe Petrović,,2025-2026,2025-10-26,43
6,Liverpool,9,5,0,4,16,14,2,15,1.67,15.8,12.0,3.8,0.42,W L L L L,60362,"Mohamed Salah, Cody Gakpo... - 3",Alisson,,2025-2026,2025-10-26,43
7,Tottenham,8,4,2,2,14,7,7,14,1.75,8.2,9.0,-0.8,-0.1,W D D W L,61039,Richarlison - 3,Guglielmo Vicario,,2025-2026,2025-10-26,43
8,Chelsea,9,4,2,3,17,11,6,14,1.56,13.4,13.1,0.3,0.03,L L W W L,39640,"Enzo Fernández, Moisés Caicedo - 3",Robert Sánchez,,2025-2026,2025-10-26,43
9,Crystal Palace,8,3,4,1,12,8,4,13,1.63,17.1,10.8,6.3,0.79,D W W L D,25068,Jean-Philippe Mateta - 5,Dean Henderson,,2025-2026,2025-10-26,43
10,Brentford,9,4,1,4,14,14,0,13,1.44,13.4,12.2,1.2,0.13,L W L W W,17014,Thiago - 6,Caoimhín Kelleher,,2025-2026,2025-10-26,43
11,Newcastle United,9,3,3,3,9,8,1,12,1.33,11.9,7.0,4.9,0.55,D L W L W,52183,Nick Woltemade - 4,Nick Pope,,2025-2026,2025-10-26,43
12,Aston Villa,8,3,3,2,8,8,0,12,1.5,6.3,10.6,-4.3,-0.54,D D W W W,41055,"Emi Buendía, Donyell Malen - 2",Emiliano Martínez,,2025-2026,2025-10-26,43
13,Brighton,9,3,3,3,14,15,-1,12,1.33,13.2,11.8,1.4,0.16,D W D W L,31518,Danny Welbeck - 5,Bart Verbruggen,,2025-2026,2025-10-26,43
14,Everton,8,3,2,3,9,9,0,11,1.38,10.8,11.9,-1.1,-0.13,D L D W L,51883,Iliman Ndiaye - 3,Jordan Pickford,,2025-2026,2025-10-26,43
15,Leeds United,9,3,2,4,9,14,-5,11,1.22,11.5,9.0,2.5,0.28,W D L L W,36722,"Joe Rodon, Noah Okafor - 2",Karl Darlow,,2025-2026,2025-10-26,43
16,Fulham,9,2,2,5,9,14,-5,8,0.89,9.0,12.8,-3.8,-0.42,W L L L L,27172,"Raúl Jiménez, Alex Iwobi... - 1",Bernd Leno,,2025-2026,2025-10-26,43
17,Burnley,8,2,1,5,9,15,-6,7,0.88,5.4,15.8,-10.4,-1.31,L D L L W,21521,Jaidon Anthony - 4,Martin Dúbravka,,2025-2026,2025-10-26,43
18,Nottingham Forest,8,1,2,5,5,15,-10,5,0.63,8.7,14.1,-5.3,-0.67,L D L L L,30221,Chris Wood - 2,Matz Sels,,2025-2026,2025-10-26,43
19,West Ham,9,1,1,7,7,20,-13,4,0.44,7.6,14.8,-7.2,-0.8,L D L L L,62457,Jarrod Bowen - 3,Alphonse Areola,,2025-2026,2025-10-26,43
20,Wolves,8,0,2,6,5,16,-11,2,0.25,6.9,10.0,-3.1,-0.39,L L D D L,30510,"Hwang Hee-chan, Santiago Bueno... - 1","Sam Johnstone, José Sá",,2025-2026,2025-10-26,43
