rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,31,21,7,3,61,22,39,70,2025-2026,2026-03-21,12
2,Manchester City,30,18,7,5,60,28,32,61,2025-2026,2026-03-21,12
3,Manchester United,31,15,10,6,56,43,13,55,2025-2026,2026-03-21,12
4,Aston Villa,30,15,6,9,40,37,3,51,2025-2026,2026-03-21,12
5,Liverpool,31,14,7,10,50,42,8,49,2025-2026,2026-03-21,12
6,Chelsea,31,13,9,9,53,38,15,48,2025-2026,2026-03-21,12
7,Brentford,31,13,7,11,46,42,4,46,2025-2026,2026-03-21,12
8,Everton,31,13,7,11,37,35,2,46,2025-2026,2026-03-21,12
9,Fulham,31,13,5,13,43,44,-1,44,2025-2026,2026-03-21,12
10,Brighton & Hove Albion,31,11,10,10,41,37,4,43,2025-2026,2026-03-21,12
11,Newcastle United,30,12,6,12,43,43,0,42,2025-2026,2026-03-21,12
12,Bournemouth,31,9,15,7,46,48,-2,42,2025-2026,2026-03-21,12
13,Sunderland,30,10,10,10,30,35,-5,40,2025-2026,2026-03-21,12
14,Crystal Palace,30,10,9,11,33,35,-2,39,2025-2026,2026-03-21,12
15,Leeds United,31,7,12,12,37,48,-11,33,2025-2026,2026-03-21,12
16,Tottenham Hotspur,30,7,9,14,40,47,-7,30,2025-2026,2026-03-21,12
17,Nottingham Forest,30,7,8,15,28,43,-15,29,2025-2026,2026-03-21,12
18,West Ham United,30,7,8,15,36,55,-19,29,2025-2026,2026-03-21,12
19,Burnley,31,4,8,19,33,61,-28,20,2025-2026,2026-03-21,12
20,Wolverhampton Wanderers,31,3,8,20,24,54,-30,17,2025-2026,2026-03-21,12
