rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,10,8,1,1,19,6,13,25,2.5,18.1,8.0,10.0,1.0,W W W D W,60263,Mohamed Salah - 7,Alisson,,2024-2025,2024-11-04,45
2,Manchester City,10,7,2,1,21,11,10,23,2.3,19.9,10.8,9.1,0.91,D W W W L,52800,Erling Haaland - 11,Ederson,,2024-2025,2024-11-04,45
3,Nottingham Forest,10,5,4,1,14,7,7,19,1.9,13.6,9.5,4.1,0.41,L D W W W,29875,Chris Wood - 8,Matz Sels,,2024-2025,2024-11-04,45
4,Chelsea,10,5,3,2,20,12,8,18,1.8,18.1,13.5,4.6,0.46,W D L W D,39528,Cole Palmer - 7,Robert Sánchez,,2024-2025,2024-11-04,45
5,Arsenal,10,5,3,2,17,11,6,18,1.8,15.5,10.4,5.1,0.51,W W L D L,60320,Kai Havertz - 4,David Raya,,2024-2025,2024-11-04,45
6,Aston Villa,10,5,3,2,17,15,2,18,1.8,15.0,11.3,3.7,0.37,D D W D L,41597,Ollie Watkins - 5,Emiliano Martínez,,2024-2025,2024-11-04,45
7,Tottenham,10,5,1,4,22,11,11,16,1.6,19.8,11.4,8.4,0.84,W L W L W,61376,"Dominic Solanke, Brennan Johnson - 4",Guglielmo Vicario,,2024-2025,2024-11-04,45
8,Brighton,10,4,4,2,17,14,3,16,1.6,14.2,16.2,-2.1,-0.21,L W W D L,33576,Danny Welbeck - 6,Bart Verbruggen,,2024-2025,2024-11-04,45
9,Bournemouth,10,4,3,3,13,12,1,15,1.5,16.2,12.9,3.3,0.33,W L W D W,11221,Antoine Semenyo - 4,Kepa Arrizabalaga,,2024-2025,2024-11-04,45
10,Newcastle United,10,4,3,3,10,10,0,15,1.5,14.7,14.1,0.6,0.06,D D L L W,52225,"Alexander Isak, Harvey Barnes - 3",Nick Pope,,2024-2025,2024-11-04,45
11,Brentford,9,4,1,4,18,18,0,13,1.44,16.1,15.4,0.7,0.08,L D W L W,17012,Bryan Mbeumo - 8,Mark Flekken,,2024-2025,2024-11-04,45
12,Fulham,9,3,3,3,12,12,0,12,1.33,13.8,10.5,3.3,0.36,W W L L D,26093,Raúl Jiménez - 4,Bernd Leno,,2024-2025,2024-11-04,45
13,Manchester United,10,3,3,4,9,12,-3,12,1.2,16.6,16.1,0.5,0.05,L D W L D,73635,Alejandro Garnacho - 2,André Onana,,2024-2025,2024-11-04,45
14,West Ham,10,3,2,5,13,19,-6,11,1.1,14.2,17.4,-3.1,-0.31,D W L W L,62469,Jarrod Bowen - 3,Alphonse Areola,,2024-2025,2024-11-04,45
15,Leicester City,10,2,4,4,14,18,-4,10,1.0,10.4,19.3,-8.8,-0.88,L W W L D,31810,Jamie Vardy - 4,Mads Hermansen,,2024-2025,2024-11-04,45
16,Everton,10,2,3,5,10,17,-7,9,0.9,10.8,15.2,-4.3,-0.43,W D W D L,38997,Dwight McNeil - 3,Jordan Pickford,,2024-2025,2024-11-04,45
17,Crystal Palace,10,1,4,5,8,13,-5,7,0.7,12.3,14.3,-2.1,-0.21,L L L W D,25142,Jean-Philippe Mateta - 3,Dean Henderson,,2024-2025,2024-11-04,45
18,Ipswich Town,10,0,5,5,10,21,-11,5,0.5,8.5,22.6,-14.1,-1.41,D L L L D,29842,Liam Delap - 5,Arijanet Muric,,2024-2025,2024-11-04,45
19,Southampton,10,1,1,8,7,19,-12,4,0.4,11.2,21.2,-9.9,-0.99,L L L L W,31140,Cameron Archer - 2,Aaron Ramsdale,,2024-2025,2024-11-04,45
20,Wolves,10,0,3,7,14,27,-13,3,0.3,10.2,19.1,-8.9,-0.89,L L L D D,31069,"Jørgen Strand Larsen, Matheus Cunha - 4","Sam Johnstone, José Sá",,2024-2025,2024-11-04,45
