rk,squad,mp,w,d,l,gd,pts,season,fetched_date,week_no
1,Liverpool,22,16,5,1,33,53,2025-2026,2025-01-29,5
2,Arsenal,23,13,8,2,23,47,2025-2026,2025-01-29,5
3,Nottingham Forest,23,13,5,5,6,44,2025-2026,2025-01-29,5
4,Manchester City,23,12,5,6,17,41,2025-2026,2025-01-29,5
5,Newcastle United,23,12,5,6,14,41,2025-2026,2025-01-29,5
6,Chelsea,23,11,7,5,15,40,2025-2026,2025-01-29,5
7,Bournemouth,23,11,7,5,15,40,2025-2026,2025-01-29,5
8,Aston Villa,23,10,7,6,-1,37,2025-2026,2025-01-29,5
9,Brighton,23,8,10,5,4,34,2025-2026,2025-01-29,5
10,Fulham,23,8,9,6,3,33,2025-2026,2025-01-29,5
11,Brentford,23,9,4,10,2,31,2025-2026,2025-01-29,5
12,Manchester United,23,8,5,10,-4,29,2025-2026,2025-01-29,5
13,Crystal Palace,23,6,9,8,-4,27,2025-2026,2025-01-29,5
14,West Ham,23,7,6,10,-16,27,2025-2026,2025-01-29,5
15,Tottenham,23,7,3,13,9,24,2025-2026,2025-01-29,5
16,Everton,22,5,8,9,-9,23,2025-2026,2025-01-29,5
17,Leicester City,23,4,5,14,-24,17,2025-2026,2025-01-29,5
18,Wolves,23,4,4,15,-20,16,2025-2026,2025-01-29,5
19,Ipswich Town,23,3,7,13,-26,16,2025-2026,2025-01-29,5
20,Southampton,23,1,3,19,-37,6,2025-2026,2025-01-29,5
