team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t41,Birmingham City,1,1,23,7,2,54,19,35,76,32,"W,W,D,W,W",10
t112,Wycombe Wanderers,2,2,18,10,5,58,32,26,64,33,"L,D,W,D,D",10
t109,Wrexham,3,3,18,8,7,48,28,20,62,33,"D,W,L,W,W",10
t48,Stockport County,4,4,17,9,8,51,33,18,60,34,"W,L,W,D,W",10
t38,Huddersfield Town,5,5,17,7,10,47,31,16,58,34,"W,L,L,W,W",10
t33,Charlton Athletic,7,6,16,8,9,45,31,14,56,33,"W,W,L,W,W",10
t30,Bolton Wanderers,8,7,16,6,11,52,49,3,54,33,"D,W,W,W,L",10
t85,Leyton Orient,6,8,16,5,13,50,34,16,53,34,"L,L,L,W,W",10
t108,Reading,9,9,15,8,10,48,44,4,53,33,"W,D,W,D,D",10
t37,Barnsley,10,10,15,7,12,50,47,3,52,34,"W,W,W,L,L",10
t92,Blackpool,11,11,10,14,9,49,47,2,44,33,"L,W,D,D,D",10
t288,Stevenage,12,12,12,8,13,31,34,-3,44,33,"L,W,L,D,L",10
t83,Lincoln City,13,13,11,10,13,44,43,1,43,34,"L,L,W,L,D",10
t72,Rotherham United,14,14,11,8,14,38,40,-2,41,33,"W,L,L,D,L",10
t111,Wigan Athletic,16,15,10,9,14,31,34,-3,39,33,"L,W,D,D,L",10
t77,Mansfield Town,15,16,11,6,16,40,47,-7,39,33,"D,L,L,D,L",10
t73,Peterborough United,20,17,10,7,16,51,59,-8,37,33,"W,W,D,L,L",10
t75,Northampton Town,17,18,9,10,15,33,51,-18,37,34,"D,L,W,L,W",10
t71,Exeter City,18,19,10,6,16,35,50,-15,36,32,"D,L,W,L,L",10
t96,Bristol Rovers,19,20,10,5,18,35,53,-18,35,33,"L,L,L,W,D",10
t587,Burton Albion,21,21,7,12,15,35,49,-14,33,34,"D,W,W,L,D",10
t101,Cambridge United,24,22,7,8,18,34,56,-22,29,33,"W,W,L,L,D",10
t1525,Crawley Town,22,23,7,8,18,36,60,-24,29,33,"L,L,D,D,W",10
t74,Shrewsbury Town,23,24,7,6,21,34,58,-24,27,34,"L,L,L,L,D",10
