rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,34,25,7,2,80,32,48,82,2.41,74.4,28.9,45.5,1.34,W L W W W,60321,Mohamed Salah - 28,Alisson,,2024-2025,2025-05-04,18
2,Arsenal,35,18,13,4,64,31,33,67,1.91,54.4,29.9,24.5,0.7,D D W D L,60256,Kai Havertz - 9,David Raya,,2024-2025,2025-05-04,18
3,Manchester City,35,19,7,9,67,43,24,64,1.83,61.9,45.2,16.6,0.48,D W W W W,52741,Erling Haaland - 21,Ederson,,2024-2025,2025-05-04,18
4,Newcastle United,34,19,5,10,65,44,21,62,1.82,57.8,42.4,15.4,0.45,W W W L W,52182,Alexander Isak - 22,Nick Pope,,2024-2025,2025-05-04,18
5,Chelsea,34,17,9,8,59,40,19,60,1.76,62.1,43.2,18.9,0.56,W D D W W,39652,Cole Palmer - 14,Robert Sánchez,,2024-2025,2025-05-04,18
6,Nottingham Forest,34,18,6,10,53,41,12,60,1.76,40.4,43.4,-3.0,-0.09,W L L W L,30036,Chris Wood - 19,Matz Sels,,2024-2025,2025-05-04,18
7,Aston Villa,35,17,9,9,55,49,6,60,1.71,53.3,45.9,7.4,0.21,W W W L W,42070,Ollie Watkins - 15,Emiliano Martínez,,2024-2025,2025-05-04,18
8,Bournemouth,35,14,11,10,55,42,13,53,1.51,60.5,45.7,14.8,0.42,D W D D W,11210,Justin Kluivert - 12,Kepa Arrizabalaga,,2024-2025,2025-05-04,18
9,Fulham,35,14,9,12,50,47,3,51,1.46,46.0,40.6,5.4,0.15,W L L W L,26727,Raúl Jiménez - 10,Bernd Leno,,2024-2025,2025-05-04,18
10,Brighton,34,13,12,9,56,55,1,51,1.5,52.0,47.7,4.4,0.13,L L D L W,31822,João Pedro - 10,Bart Verbruggen,,2024-2025,2025-05-04,18
11,Brentford,34,14,7,13,58,50,8,49,1.44,50.9,51.0,0.0,0.0,L D D W W,18827,Bryan Mbeumo - 18,Mark Flekken,,2024-2025,2025-05-04,18
12,Crystal Palace,34,11,12,11,43,47,-4,45,1.32,51.3,44.2,7.2,0.21,W L L D D,25080,Jean-Philippe Mateta - 14,Dean Henderson,,2024-2025,2025-05-04,18
13,Wolves,35,12,5,18,51,62,-11,41,1.17,40.4,53.5,-13.1,-0.37,W W W W L,30621,Matheus Cunha - 15,José Sá,,2024-2025,2025-05-04,18
14,Everton,35,8,15,12,36,43,-7,39,1.11,36.9,43.1,-6.2,-0.18,D W L L D,38397,"Iliman Ndiaye, Beto - 7",Jordan Pickford,,2024-2025,2025-05-04,18
15,Manchester United,34,10,9,15,39,47,-8,39,1.15,45.7,48.2,-2.5,-0.07,L D L L D,73738,Bruno Fernandes - 8,André Onana,,2024-2025,2025-05-04,18
16,Tottenham,34,11,4,19,62,56,6,37,1.09,54.8,55.5,-0.7,-0.02,L W L L L,61159,Brennan Johnson - 11,Guglielmo Vicario,,2024-2025,2025-05-04,18
17,West Ham,34,9,9,16,39,58,-19,36,1.06,42.2,54.1,-11.9,-0.35,L D L D L,62463,Jarrod Bowen - 9,Alphonse Areola,,2024-2025,2025-05-04,18
18,Ipswich Town,35,4,10,21,35,76,-41,22,0.63,31.3,69.4,-38.1,-1.09,L D L L D,29753,Liam Delap - 12,Arijanet Muric,,2024-2025,2025-05-04,18
19,Leicester City,35,5,6,24,29,76,-47,21,0.6,30.5,67.6,-37.1,-1.06,L D L L W,31418,Jamie Vardy - 8,Mads Hermansen,,2024-2025,2025-05-04,18
20,Southampton,35,2,5,28,25,82,-57,11,0.31,30.7,78.1,-47.3,-1.35,L L D L L,30854,Paul Onuachu - 4,Aaron Ramsdale,,2024-2025,2025-05-04,18
