rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,20,15,3,2,40,14,26,48,2025-2026,2026-01-05,2
2,Manchester City,20,13,3,4,44,18,26,42,2025-2026,2026-01-05,2
3,Aston Villa,20,13,3,4,33,24,9,42,2025-2026,2026-01-05,2
4,Liverpool,20,10,4,6,32,28,4,34,2025-2026,2026-01-05,2
5,Chelsea,20,8,7,5,33,22,11,31,2025-2026,2026-01-05,2
6,Manchester United,20,8,7,5,34,30,4,31,2025-2026,2026-01-05,2
7,Brentford,20,9,3,8,32,28,4,30,2025-2026,2026-01-05,2
8,Sunderland,20,7,9,4,21,19,2,30,2025-2026,2026-01-05,2
9,Newcastle United,20,8,5,7,28,24,4,29,2025-2026,2026-01-05,2
10,Brighton & Hove Albion,20,7,7,6,30,27,3,28,2025-2026,2026-01-05,2
11,Fulham,20,8,4,8,28,29,-1,28,2025-2026,2026-01-05,2
12,Everton,20,8,4,8,22,24,-2,28,2025-2026,2026-01-05,2
13,Tottenham Hotspur,20,7,6,7,28,24,4,27,2025-2026,2026-01-05,2
14,Crystal Palace,20,7,6,7,22,23,-1,27,2025-2026,2026-01-05,2
15,Bournemouth,20,5,8,7,31,38,-7,23,2025-2026,2026-01-05,2
16,Leeds United,20,5,7,8,26,33,-7,22,2025-2026,2026-01-05,2
17,Nottingham Forest,20,5,3,12,19,33,-14,18,2025-2026,2026-01-05,2
18,West Ham United,20,3,5,12,21,41,-20,14,2025-2026,2026-01-05,2
19,Burnley,20,3,3,14,20,39,-19,12,2025-2026,2026-01-05,2
20,Wolverhampton Wanderers,20,1,3,16,14,40,-26,6,2025-2026,2026-01-05,2
