team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t109,Wrexham,2,1,4,1,0,11,2,9,13,5,"W,W,W,D,W",36
t48,Stockport County,1,2,3,1,0,8,1,7,10,4,"D,W,W,W",36
t37,Barnsley,7,3,3,1,1,10,6,4,10,5,"W,W,D,W,L",36
t41,Birmingham City,3,4,3,1,0,8,5,3,10,4,"W,W,W,D",36
t33,Charlton Athletic,6,5,3,1,1,5,3,2,10,5,"D,L,W,W,W",36
t83,Lincoln City,4,6,3,0,1,9,5,4,9,4,"W,W,L,W",36
t38,Huddersfield Town,5,7,3,0,1,6,3,3,9,4,"L,W,W,W",36
t108,Reading,8,8,2,1,1,5,4,1,7,4,"W,L,W,D",36
t96,Bristol Rovers,9,9,2,1,2,4,4,0,7,5,"L,W,L,D,W",36
t71,Exeter City,10,10,2,0,2,5,4,1,6,4,"W,L,L,W",36
t73,Peterborough United,11,11,2,0,2,6,6,0,6,4,"L,W,W,L",36
t1525,Crawley Town,12,12,2,0,2,3,5,-2,6,4,"L,L,W,W",36
t75,Northampton Town,13,13,1,2,1,4,4,0,5,4,"D,D,W,L",36
t77,Mansfield Town,14,14,1,2,1,7,9,-2,5,4,"D,L,D,W",36
t72,Rotherham United,17,15,1,2,2,3,5,-2,5,5,"D,W,L,D,L",36
t112,Wycombe Wanderers,15,16,1,1,2,8,8,0,4,4,"D,W,L,L",36
t288,Stevenage,16,17,1,1,2,2,3,-1,4,4,"L,D,L,W",36
t30,Bolton Wanderers,18,18,1,1,2,2,5,-3,4,4,"L,L,D,W",36
t587,Burton Albion,19,19,0,3,1,5,6,-1,3,4,"D,D,D,L",36
t111,Wigan Athletic,21,20,1,0,3,2,5,-3,3,4,"L,W,L,L",36
t74,Shrewsbury Town,20,21,1,0,4,4,9,-5,3,5,"L,W,L,L,L",36
t92,Blackpool,22,22,0,2,2,7,11,-4,2,4,"D,D,L,L",36
t101,Cambridge United,23,23,0,1,3,4,9,-5,1,4,"L,D,L,L",36
t85,Leyton Orient,24,24,0,0,4,2,8,-6,0,4,"L,L,L,L",36
