rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Manchester City,3,3,0,0,9,2,7,9,3.0,7.1,2.0,5.1,1.71,W W W,,Erling Haaland - 7,Ederson,,2024-2025,2024-09-04,36
2,Liverpool,3,3,0,0,7,0,7,9,3.0,6.8,2.4,4.5,1.49,W W W,,"Mohamed Salah, Luis Díaz - 3",Alisson,,2024-2025,2024-09-04,36
3,Brighton,3,2,1,0,6,2,4,7,2.33,5.3,4.0,1.4,0.45,W W D,31537.0,"Danny Welbeck, João Pedro - 2",Jason Steele,,2024-2025,2024-09-04,36
4,Arsenal,3,2,1,0,5,1,4,7,2.33,4.2,3.5,0.7,0.22,W W D,60294.0,Kai Havertz - 2,David Raya,,2024-2025,2024-09-04,36
5,Newcastle United,3,2,1,0,4,2,2,7,2.33,3.4,5.2,-1.8,-0.6,W D W,52204.0,"Joelinton, Alexander Isak... - 1",Nick Pope,,2024-2025,2024-09-04,36
6,Brentford,3,2,0,1,5,4,1,6,2.0,4.9,5.2,-0.3,-0.09,W L W,16972.0,Bryan Mbeumo - 3,Mark Flekken,,2024-2025,2024-09-04,36
7,Aston Villa,3,2,0,1,4,4,0,6,2.0,4.6,3.6,1.0,0.33,W L W,,"Amadou Onana, Jhon Durán - 2",Emiliano Martínez,,2024-2025,2024-09-04,36
8,Bournemouth,3,1,2,0,5,4,1,5,1.67,5.7,4.8,0.9,0.3,D D W,11161.0,Antoine Semenyo - 2,Neto,,2024-2025,2024-09-04,36
9,Nottingham Forest,3,1,2,0,3,2,1,5,1.67,4.6,2.1,2.5,0.83,D W D,29841.0,Chris Wood - 2,Matz Sels,,2024-2025,2024-09-04,36
10,Tottenham,3,1,1,1,6,3,3,4,1.33,4.8,3.5,1.3,0.43,D W L,61357.0,Son Heung-min - 2,Guglielmo Vicario,,2024-2025,2024-09-04,36
11,Chelsea,3,1,1,1,7,5,2,4,1.33,4.9,3.2,1.7,0.57,L W D,39558.0,Noni Madueke - 3,Robert Sánchez,,2024-2025,2024-09-04,36
12,Fulham,3,1,1,1,3,3,0,4,1.33,3.1,3.5,-0.4,-0.12,L W D,25401.0,"Adama Traoré, Alex Iwobi... - 1",Bernd Leno,,2024-2025,2024-09-04,36
13,West Ham,3,1,0,2,4,5,-1,3,1.0,4.4,6.3,-1.9,-0.64,L W L,62463.0,"Tomáš Souček, Lucas Paquetá... - 1",Alphonse Areola,,2024-2025,2024-09-04,36
14,Manchester United,3,1,0,2,2,5,-3,3,1.0,5.2,4.2,1.0,0.32,W L L,73518.0,"Joshua Zirkzee, Amad Diallo - 1",André Onana,,2024-2025,2024-09-04,36
15,Leicester City,3,0,1,2,3,5,-2,1,0.33,2.1,4.3,-2.2,-0.74,D L L,31851.0,"Jamie Vardy, Wout Faes... - 1",Mads Hermansen,,2024-2025,2024-09-04,36
16,Crystal Palace,3,0,1,2,2,5,-3,1,0.33,3.0,5.2,-2.3,-0.75,L L D,25099.0,Eberechi Eze - 1,Dean Henderson,,2024-2025,2024-09-04,36
17,Ipswich Town,3,0,1,2,2,7,-5,1,0.33,1.2,6.8,-5.7,-1.89,L L D,29766.0,"Sammie Szmodics, Liam Delap - 1",Arijanet Muric,,2024-2025,2024-09-04,36
18,Wolves,3,0,1,2,3,9,-6,1,0.33,3.2,3.9,-0.7,-0.25,L L D,31235.0,"Jean-Ricner Bellegarde, Jørgen Strand Larsen... - 1",José Sá,,2024-2025,2024-09-04,36
19,Southampton,3,0,0,3,1,5,-4,0,0.0,3.4,5.3,-1.9,-0.63,L L L,31150.0,Yukinari Sugawara - 1,Alex McCarthy,,2024-2025,2024-09-04,36
20,Everton,3,0,0,3,2,10,-8,0,0.0,3.2,6.1,-2.8,-0.95,L L L,38805.0,"Michael Keane, Dominic Calvert-Lewin - 1",Jordan Pickford,,2024-2025,2024-09-04,36
