rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,30,22,7,1,70,27,43,73,2.43,66.4,26.0,40.4,1.35,D W W W W,60311,Mohamed Salah - 27,Alisson,,2024-2025,2025-04-04,14
2,Arsenal,30,17,10,3,55,25,30,61,2.03,46.7,25.7,21.0,0.7,L D D W W,60276,Kai Havertz - 9,David Raya,,2024-2025,2025-04-04,14
3,Nottingham Forest,30,17,6,7,50,35,15,57,1.9,37.0,35.6,1.4,0.05,L D W W W,30091,Chris Wood - 18,Matz Sels,,2024-2025,2025-04-04,14
4,Chelsea,30,15,7,8,54,37,17,52,1.73,56.9,40.3,16.6,0.55,L W W L W,39610,Cole Palmer - 14,Robert Sánchez,,2024-2025,2025-04-04,14
5,Manchester City,30,15,6,9,57,40,17,51,1.7,53.6,39.5,14.1,0.47,L W L D W,52819,Erling Haaland - 21,Ederson,,2024-2025,2025-04-04,14
6,Newcastle United,29,15,5,9,49,39,10,50,1.72,47.5,36.9,10.6,0.37,L W L W W,52177,Alexander Isak - 20,Nick Pope,,2024-2025,2025-04-04,14
7,Aston Villa,30,13,9,8,44,45,-1,48,1.6,42.4,40.9,1.5,0.05,D W L W W,41958,Ollie Watkins - 13,Emiliano Martínez,,2024-2025,2025-04-04,14
8,Brighton,30,12,11,7,48,45,3,47,1.57,44.5,42.3,2.2,0.07,W W W D L,31888,João Pedro - 8,Bart Verbruggen,,2024-2025,2025-04-04,14
9,Fulham,30,12,9,9,44,40,4,45,1.5,40.8,35.2,5.6,0.19,L W L W L,26592,Raúl Jiménez - 10,Bernd Leno,,2024-2025,2025-04-04,14
10,Bournemouth,30,12,8,10,49,38,11,44,1.47,54.8,39.9,14.9,0.5,L L D L L,11209,Justin Kluivert - 12,Kepa Arrizabalaga,,2024-2025,2025-04-04,14
11,Brentford,30,12,5,13,51,47,4,41,1.37,46.2,46.5,-0.3,-0.01,W D L W L,19052,Bryan Mbeumo - 16,Mark Flekken,,2024-2025,2025-04-04,14
12,Crystal Palace,29,10,10,9,37,34,3,40,1.38,44.9,36.0,8.8,0.31,L W W W D,25108,Jean-Philippe Mateta - 12,Dean Henderson,,2024-2025,2025-04-04,14
13,Manchester United,30,10,7,13,37,41,-4,37,1.23,40.5,44.8,-4.3,-0.14,D W D W L,73733,Bruno Fernandes - 8,André Onana,,2024-2025,2025-04-04,14
14,Tottenham,30,10,4,16,55,44,11,34,1.13,48.1,49.4,-1.3,-0.04,W L D L L,61294,"James Maddison, Brennan Johnson - 9",Guglielmo Vicario,,2024-2025,2025-04-04,14
15,Everton,30,7,13,10,32,37,-5,34,1.13,32.5,37.1,-4.6,-0.15,D D D D L,38213,"Iliman Ndiaye, Beto - 6",Jordan Pickford,,2024-2025,2025-04-04,14
16,West Ham,30,9,7,14,33,50,-17,34,1.13,37.9,48.3,-10.4,-0.35,W W L D L,62463,"Tomáš Souček, Jarrod Bowen - 7",Alphonse Areola,,2024-2025,2025-04-04,14
17,Wolves,30,8,5,17,41,58,-17,29,0.97,32.8,47.6,-14.8,-0.49,W L D W W,30505,Matheus Cunha - 13,José Sá,,2024-2025,2025-04-04,14
18,Ipswich Town,30,4,8,18,30,63,-33,20,0.67,28.3,59.3,-30.9,-1.03,L L L L W,29781,Liam Delap - 11,Arijanet Muric,,2024-2025,2025-04-04,14
19,Leicester City,30,4,5,21,25,67,-42,17,0.57,25.8,55.6,-29.9,-1.0,L L L L L,31566,Jamie Vardy - 7,Mads Hermansen,,2024-2025,2025-04-04,14
20,Southampton,30,2,4,24,22,71,-49,10,0.33,27.6,68.3,-40.7,-1.36,L L L L D,31025,Paul Onuachu - 4,Aaron Ramsdale,,2024-2025,2025-04-04,14
