rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Manchester City,1,1,0,0,4,0,4,3,3.0,2.4,0.6,1.8,1.85,W,,Erling Haaland - 2,James Trafford,,2025-2026,2025-08-18,34
2,Sunderland,1,1,0,0,3,0,3,3,3.0,0.7,0.6,0.2,0.18,W,,"Daniel Ballard, Wilson Isidor... - 1",Robin Roefs,,2025-2026,2025-08-18,34
3,Tottenham,1,1,0,0,3,0,3,3,3.0,2.3,0.9,1.4,1.39,W,61077.0,Richarlison - 2,Guglielmo Vicario,,2025-2026,2025-08-18,34
4,Liverpool,1,1,0,0,4,2,2,3,3.0,2.2,1.7,0.5,0.5,W,,"Mohamed Salah, Federico Chiesa... - 1",Alisson,,2025-2026,2025-08-18,34
5,Nottingham Forest,1,1,0,0,3,1,2,3,3.0,1.8,1.4,0.4,0.42,W,29949.0,Chris Wood - 2,Matz Sels,,2025-2026,2025-08-18,34
6,Arsenal,1,1,0,0,1,0,1,3,3.0,1.3,1.5,-0.2,-0.19,W,,Riccardo Calafiori - 1,David Raya,,2025-2026,2025-08-18,34
7,Fulham,1,0,1,0,1,1,0,1,1.0,0.7,1.5,-0.7,-0.73,D,,Rodrigo Muniz - 1,Bernd Leno,,2025-2026,2025-08-18,34
8,Brighton,1,0,1,0,1,1,0,1,1.0,1.5,0.7,0.7,0.73,D,,Matt O'Riley - 1,Bart Verbruggen,,2025-2026,2025-08-18,34
9,Aston Villa,1,0,1,0,0,0,0,1,1.0,0.2,1.4,-1.2,-1.23,D,,,Marco Bizot,,2025-2026,2025-08-18,34
10,Chelsea,1,0,1,0,0,0,0,1,1.0,1.6,0.6,0.9,0.93,D,,,Robert Sánchez,,2025-2026,2025-08-18,34
11,Crystal Palace,1,0,1,0,0,0,0,1,1.0,0.6,1.6,-0.9,-0.93,D,,,Dean Henderson,,2025-2026,2025-08-18,34
12,Newcastle United,1,0,1,0,0,0,0,1,1.0,1.4,0.2,1.2,1.23,D,,,Nick Pope,,2025-2026,2025-08-18,34
13,Everton,0,0,0,0,0,0,0,0,,,,,,,,,,,2025-2026,2025-08-18,34
14,Leeds United,0,0,0,0,0,0,0,0,,,,,,,,,,,2025-2026,2025-08-18,34
15,Manchester United,1,0,0,1,0,1,-1,0,0.0,1.5,1.3,0.2,0.19,L,,,Altay Bayındır,,2025-2026,2025-08-18,34
16,Bournemouth,1,0,0,1,2,4,-2,0,0.0,1.7,2.2,-0.5,-0.5,L,,Antoine Semenyo - 2,Đorđe Petrović,,2025-2026,2025-08-18,34
17,Brentford,1,0,0,1,1,3,-2,0,0.0,1.4,1.8,-0.4,-0.42,L,,Thiago - 1,Caoimhín Kelleher,,2025-2026,2025-08-18,34
18,Burnley,1,0,0,1,0,3,-3,0,0.0,0.9,2.3,-1.4,-1.39,L,,,Martin Dúbravka,,2025-2026,2025-08-18,34
19,West Ham,1,0,0,1,0,3,-3,0,0.0,0.6,0.7,-0.2,-0.18,L,,,Mads Hermansen,,2025-2026,2025-08-18,34
20,Wolves,1,0,0,1,0,4,-4,0,0.0,0.6,2.4,-1.8,-1.85,L,,,José Sá,,2025-2026,2025-08-18,34
