rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Arsenal,7,5,1,1,14,3,11,16,2.29,11.9,4.3,7.5,1.08,L W D W W,60155,Viktor Gyökeres - 3,David Raya,,2025-2026,2025-10-05,40
2,Liverpool,7,5,0,2,13,9,4,15,2.14,10.9,7.9,3.0,0.43,W W W L L,60371,Hugo Ekitike - 3,Alisson,,2025-2026,2025-10-05,40
3,Tottenham,7,4,2,1,13,5,8,14,2.0,7.4,8.7,-1.4,-0.2,L W D D W,60955,Richarlison - 3,Guglielmo Vicario,,2025-2026,2025-10-05,40
4,Bournemouth,7,4,2,1,11,8,3,14,2.0,8.4,6.3,2.0,0.29,W W D D W,11154,Antoine Semenyo - 6,Đorđe Petrović,,2025-2026,2025-10-05,40
5,Crystal Palace,6,3,3,0,8,3,5,12,2.0,11.2,6.7,4.5,0.75,D W D W W,25049,Ismaila Sarr - 3,Dean Henderson,,2025-2026,2025-10-05,40
6,Chelsea,7,3,2,2,13,9,4,11,1.57,10.9,9.7,1.2,0.17,W D L L W,39673,"Enzo Fernández, Moisés Caicedo - 3",Robert Sánchez,,2025-2026,2025-10-05,40
7,Sunderland,7,3,2,2,7,6,1,11,1.57,6.8,8.7,-2.0,-0.28,W D D W L,46254,Wilson Isidor - 3,Robin Roefs,,2025-2026,2025-10-05,40
8,Manchester City,6,3,1,2,14,6,8,10,1.67,11.3,6.4,4.9,0.82,L L W D W,52249,Erling Haaland - 8,"Gianluigi Donnarumma, James Trafford",,2025-2026,2025-10-05,40
9,Manchester United,7,3,1,3,9,11,-2,10,1.43,13.6,9.9,3.7,0.53,W L W L W,73965,"Bruno Fernandes, Benjamin Šeško - 2",Altay Bayındır,,2025-2026,2025-10-05,40
10,Everton,6,2,2,2,7,6,1,8,1.33,7.7,8.0,-0.3,-0.05,W W D L D,51921,Iliman Ndiaye - 2,Jordan Pickford,,2025-2026,2025-10-05,40
11,Brighton,6,2,2,2,9,9,0,8,1.33,10.3,8.5,1.8,0.29,L W L D W,31484,Danny Welbeck - 2,Bart Verbruggen,,2025-2026,2025-10-05,40
12,Fulham,7,2,2,3,8,11,-3,8,1.14,7.3,8.9,-1.7,-0.24,L W W L L,26984,"Raúl Jiménez, Alex Iwobi... - 1",Bernd Leno,,2025-2026,2025-10-05,40
13,Leeds United,7,2,2,3,7,11,-4,8,1.14,7.6,7.9,-0.3,-0.04,D L W D L,36706,Noah Okafor - 2,Karl Darlow,,2025-2026,2025-10-05,40
14,Brentford,6,2,1,3,9,11,-2,7,1.17,7.7,8.8,-1.1,-0.19,W L D L W,16942,Thiago - 4,Caoimhín Kelleher,,2025-2026,2025-10-05,40
15,Newcastle United,6,1,3,2,4,5,-1,6,1.0,5.2,4.5,0.7,0.12,L D W D L,52191,Nick Woltemade - 2,Nick Pope,,2025-2026,2025-10-05,40
16,Aston Villa,6,1,3,2,4,6,-2,6,1.0,4.8,9.3,-4.5,-0.75,L L D D W,41304,"John McGinn, Ollie Watkins... - 1",Emiliano Martínez,,2025-2026,2025-10-05,40
17,Nottingham Forest,6,1,2,3,5,10,-5,5,0.83,6.3,9.3,-2.9,-0.49,D L L D L,30130,Chris Wood - 2,Matz Sels,,2025-2026,2025-10-05,40
18,Burnley,6,1,1,4,6,13,-7,4,0.67,4.5,12.3,-7.8,-1.29,W L L D L,21479,Jaidon Anthony - 4,Martin Dúbravka,,2025-2026,2025-10-05,40
19,West Ham,7,1,1,5,6,16,-10,4,0.57,6.6,11.1,-4.5,-0.64,W L L D L,62459,Jarrod Bowen - 3,Mads Hermansen,,2025-2026,2025-10-05,40
20,Wolves,6,0,1,5,4,13,-9,1,0.17,5.5,8.5,-2.9,-0.49,L L L L D,30845,"Hwang Hee-chan, Santiago Bueno... - 1",José Sá,,2025-2026,2025-10-05,40
